model,topic,blockade_condition,repetition,gamma_norm,gamma_1,gamma_2,gamma_3,delta_gamma,gamma_initial,gamma_revised,gamma_final,persistence,self_ref_depth_revised,revision_genuineness,structural_direction,hypothesis_diversity,position_depth_revised,hedge_density_initial,hedge_density_revised,hedge_density_final,agreement_count,resistance_count,suppressed
claude,T1,B0,1,0.69,0.15,0.625,0.25,-0.143,0.37,0.227,0.247,4.0,4.0,4.0,4.0,2.0,4.0,0.1,0.133,0.235,0,0,
claude,T1,B0,2,0.474,0.15,0.438,0.1,-0.172,0.431,0.259,0.232,4.0,4.0,4.0,5.0,3.0,4.0,0.154,0.294,0.158,0,0,
claude,T1,B0,3,0.788,0.556,0.5,0.25,-0.122,0.346,0.224,0.238,4.0,4.0,4.0,4.0,3.0,4.0,0.231,0.118,0.188,0,0,
claude,T1,B0,4,0.416,0.15,0.375,0.1,-0.05,0.303,0.253,0.222,4.0,4.0,4.0,5.0,4.0,4.0,0.267,0.267,0.111,0,0,
claude,T1,B0,5,0.579,0.15,0.5,0.25,-0.168,0.43,0.262,0.235,4.0,4.0,4.0,4.0,3.0,4.0,0.4,0.308,0.176,1,0,
claude,T1,B_Op3,1,0.879,0.669,0.562,0.1,-0.268,0.436,0.168,0.193,5.0,4.0,4.0,5.0,2.0,4.0,0.429,0.091,0.214,0,0,False
claude,T1,B_Op3,2,0.807,0.5,0.625,0.1,-0.25,0.422,0.172,0.242,5.0,4.0,4.0,5.0,1.0,4.0,0.111,0.111,0.462,0,0,False
claude,T1,B_Op3,3,0.59,0.15,0.562,0.1,-0.083,0.35,0.267,0.24,5.0,4.0,4.0,5.0,2.0,3.0,0.0,0.333,0.2,0,0,True
claude,T1,B_Op3,4,0.828,0.6,0.562,0.1,-0.11,0.35,0.24,0.283,4.0,4.0,4.0,5.0,2.0,4.0,0.0,0.2,0.417,0,0,False
claude,T1,B_Op3,5,0.839,0.55,0.625,0.1,-0.23,0.4,0.17,0.2,5.0,4.0,4.0,5.0,1.0,4.0,0.0,0.1,0.25,0,0,False
claude,T1,B_Op5,1,0.427,0.15,0.312,0.25,-0.133,0.4,0.267,0.253,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.333,0.267,0,0,False
claude,T1,B_Op5,2,0.579,0.15,0.5,0.25,-0.112,0.379,0.267,0.236,4.0,4.0,4.0,4.0,3.0,4.0,0.143,0.333,0.182,1,0,False
claude,T1,B_Op5,3,0.416,0.15,0.375,0.1,-0.174,0.386,0.212,0.186,5.0,4.0,4.0,5.0,4.0,4.0,0.182,0.308,0.182,0,0,False
claude,T1,B_Op5,4,0.759,0.513,0.5,0.25,-0.095,0.355,0.26,0.212,4.0,4.0,4.0,4.0,3.0,4.0,0.273,0.3,0.062,0,0,False
claude,T1,B_Op5,5,0.826,0.654,0.438,0.25,-0.088,0.35,0.262,0.246,4.0,4.0,4.0,4.0,3.0,4.0,0.0,0.308,0.231,0,0,False
claude,T1,B_Op7,1,0.532,0.15,0.5,0.1,-0.11,0.335,0.225,0.185,4.0,4.0,4.0,5.0,3.0,5.0,0.176,0.375,0.176,0,0,False
claude,T1,B_Op7,2,0.935,0.567,0.25,0.7,-0.076,0.403,0.327,0.383,1.0,5.0,4.0,1.0,4.0,4.0,0.267,0.133,0.417,0,0,True
claude,T1,B_Op7,3,0.532,0.15,0.5,0.1,-0.19,0.4,0.21,0.203,5.0,4.0,4.0,5.0,3.0,4.0,0.25,0.3,0.267,1,0,False
claude,T1,B_Op7,4,0.719,0.507,0.5,0.1,-0.153,0.343,0.19,0.172,5.0,4.0,4.0,5.0,3.0,4.0,0.214,0.2,0.111,1,0,False
claude,T1,B_Op7,5,0.706,0.15,0.562,0.4,-0.162,0.35,0.188,0.214,4.0,4.0,4.0,3.0,2.0,5.0,0.0,0.188,0.318,1,1,False
claude,T2,B0,1,0.868,0.575,0.25,0.6,-0.07,0.42,0.35,0.34,1.0,4.0,5.0,1.0,4.0,4.0,0.1,0.25,0.2,2,0,
claude,T2,B0,2,0.26,0.15,0.188,0.1,-0.325,0.55,0.225,0.183,4.0,4.0,4.0,5.0,4.0,5.0,0.5,0.375,0.167,0,0,
claude,T2,B0,3,0.787,0.53,0.188,0.55,-0.138,0.505,0.367,0.35,2.0,4.0,4.0,2.0,4.0,4.0,0.273,0.333,0.25,0,0,
claude,T2,B0,4,0.727,0.518,0.5,0.1,-0.193,0.493,0.3,0.265,4.0,3.0,4.0,5.0,2.0,4.0,0.214,0.25,0.077,0,0,
claude,T2,B0,5,0.287,0.1,0.25,0.1,-0.025,0.53,0.505,0.481,2.0,3.0,4.0,5.0,4.0,2.0,0.4,0.273,0.154,0,0,
claude,T2,B_Op3,1,0.709,0.548,0.438,0.1,-0.231,0.475,0.244,0.236,4.0,4.0,4.0,5.0,2.0,4.0,0.125,0.222,0.182,0,0,False
claude,T2,B_Op3,2,0.598,0.5,0.312,0.1,-0.3,0.468,0.168,0.15,5.0,4.0,4.0,5.0,3.0,4.0,0.091,0.091,0.0,0,0,False
claude,T2,B_Op3,3,1.048,0.645,0.438,0.7,-0.158,0.53,0.372,0.35,1.0,4.0,4.0,1.0,2.0,4.0,0.4,0.111,0.0,0,0,False
claude,T2,B_Op3,4,0.922,0.512,0.312,0.7,-0.155,0.475,0.32,0.322,2.0,4.0,4.0,1.0,3.0,4.0,0.125,0.1,0.111,0,1,False
claude,T2,B_Op3,5,1.037,0.579,0.5,0.7,-0.082,0.539,0.457,0.429,1.0,3.0,4.0,1.0,2.0,4.0,0.444,0.286,0.143,1,0,False
claude,T2,B_Op5,1,0.974,0.517,0.438,0.7,-0.043,0.468,0.425,0.45,2.0,2.0,4.0,1.0,3.0,4.0,0.091,0.125,0.25,0,1,False
claude,T2,B_Op5,2,0.763,0.65,0.312,0.25,-0.04,0.49,0.45,0.363,1.0,4.0,4.0,4.0,3.0,4.0,0.2,0.5,0.067,0,0,False
claude,T2,B_Op5,3,0.881,0.5,0.188,0.7,-0.15,0.49,0.34,0.312,2.0,4.0,4.0,1.0,4.0,4.0,0.2,0.2,0.059,0,0,False
claude,T2,B_Op5,4,0.887,0.512,0.188,0.7,-0.105,0.505,0.4,0.393,1.0,4.0,4.0,1.0,4.0,4.0,0.273,0.25,0.214,0,0,False
claude,T2,B_Op5,5,0.924,0.517,0.312,0.7,-0.106,0.483,0.377,0.383,1.0,4.0,4.0,1.0,3.0,4.0,0.167,0.133,0.167,0,0,False
claude,T2,B_Op7,1,0.774,0.708,0.188,0.25,-0.383,0.545,0.162,0.185,5.0,4.0,4.0,4.0,4.0,4.0,0.474,0.059,0.176,1,0,True
claude,T2,B_Op7,2,0.384,0.15,0.25,0.25,-0.254,0.444,0.19,0.203,4.0,4.0,4.0,4.0,4.0,5.0,0.222,0.2,0.263,1,0,True
claude,T2,B_Op7,3,0.467,0.15,0.188,0.4,-0.285,0.497,0.212,0.259,3.0,4.0,4.0,3.0,4.0,5.0,0.235,0.059,0.294,0,0,True
claude,T2,B_Op7,4,0.758,0.15,0.438,0.6,-0.118,0.412,0.294,0.297,1.0,4.0,5.0,1.0,3.0,5.0,0.312,0.222,0.235,0,0,False
claude,T2,B_Op7,5,0.575,0.508,0.25,0.1,-0.203,0.453,0.25,0.293,4.0,4.0,4.0,5.0,4.0,4.0,0.267,0.25,0.467,0,0,True
claude,T3,B0,1,0.777,0.539,0.5,0.25,-0.116,0.373,0.257,0.247,4.0,4.0,4.0,4.0,3.0,4.0,0.364,0.286,0.235,2,0,
claude,T3,B0,2,0.685,0.516,0.375,0.25,-0.106,0.383,0.277,0.25,4.0,4.0,4.0,4.0,4.0,4.0,0.417,0.385,0.25,1,0,
claude,T3,B0,3,0.475,0.15,0.375,0.25,-0.136,0.336,0.2,0.183,4.0,4.0,4.0,4.0,4.0,5.0,0.182,0.25,0.167,0,0,
claude,T3,B0,4,0.795,0.576,0.375,0.4,-0.019,0.336,0.317,0.339,3.0,4.0,4.0,3.0,4.0,4.0,0.182,0.333,0.444,1,0,
claude,T3,B0,5,0.826,0.532,0.312,0.55,-0.013,0.373,0.36,0.367,1.0,5.0,4.0,2.0,4.0,4.0,0.364,0.3,0.333,0,0,
claude,T3,B_Op3,1,0.796,0.555,0.562,0.1,-0.178,0.3,0.122,0.125,5.0,5.0,4.0,5.0,2.0,4.0,0.0,0.111,0.125,0,0,False
claude,T3,B_Op3,2,0.97,0.562,0.75,0.25,-0.075,0.3,0.225,0.257,4.0,4.0,4.0,4.0,1.0,4.0,0.0,0.125,0.286,1,0,False
claude,T3,B_Op3,3,0.69,0.15,0.625,0.25,-0.179,0.329,0.15,0.194,4.0,4.0,4.0,4.0,2.0,5.0,0.143,0.0,0.222,1,0,False
claude,T3,B_Op3,4,0.796,0.555,0.562,0.1,-0.172,0.372,0.2,0.229,4.0,4.0,4.0,5.0,2.0,4.0,0.111,0.0,0.143,1,0,False
claude,T3,B_Op3,5,0.694,0.528,0.375,0.25,-0.089,0.329,0.24,0.218,4.0,4.0,4.0,4.0,4.0,4.0,0.143,0.2,0.091,1,0,False
claude,T3,B_Op5,1,0.902,0.6,0.625,0.25,-0.14,0.36,0.22,0.2,4.0,4.0,4.0,4.0,2.0,4.0,0.3,0.1,0.0,1,0,False
claude,T3,B_Op5,2,0.96,0.685,0.625,0.25,-0.026,0.34,0.314,0.22,4.0,4.0,4.0,4.0,2.0,4.0,0.2,0.571,0.1,1,0,False
claude,T3,B_Op5,3,1.003,0.744,0.625,0.25,-0.002,0.322,0.32,0.218,4.0,4.0,4.0,4.0,2.0,4.0,0.111,0.6,0.091,2,0,False
claude,T3,B_Op5,4,0.827,0.609,0.5,0.25,-0.056,0.336,0.28,0.236,4.0,4.0,4.0,4.0,3.0,4.0,0.182,0.4,0.182,0,0,False
claude,T3,B_Op5,5,0.869,0.55,0.625,0.25,-0.12,0.32,0.2,0.255,4.0,4.0,4.0,4.0,2.0,4.0,0.1,0.0,0.273,1,0,False
claude,T3,B_Op7,1,0.805,0.15,0.75,0.25,-0.1,0.346,0.246,0.3,3.0,4.0,4.0,4.0,1.0,5.0,0.231,0.231,0.5,0,0,False
claude,T3,B_Op7,2,0.65,0.15,0.625,0.1,-0.167,0.367,0.2,0.194,4.0,4.0,4.0,5.0,2.0,5.0,0.333,0.25,0.222,0,0,False
claude,T3,B_Op7,3,0.808,0.15,0.375,0.7,-0.165,0.327,0.162,0.212,4.0,4.0,4.0,1.0,4.0,5.0,0.133,0.059,0.308,0,0,True
claude,T3,B_Op7,4,0.674,0.542,0.312,0.25,-0.166,0.371,0.205,0.225,4.0,5.0,4.0,4.0,4.0,4.0,0.357,0.273,0.375,0,0,True
claude,T3,B_Op7,5,0.746,0.661,0.312,0.15,-0.135,0.315,0.18,0.171,4.0,5.0,5.0,4.0,4.0,4.0,0.077,0.4,0.357,1,0,True
claude,T4,B0,1,0.347,0.15,0.188,0.25,-0.267,0.517,0.25,0.214,5.0,4.0,4.0,4.0,4.0,3.0,0.333,0.25,0.071,0,0,
claude,T4,B0,2,0.26,0.15,0.188,0.1,-0.346,0.546,0.2,0.2,5.0,4.0,4.0,5.0,4.0,4.0,0.231,0.25,0.25,0,0,
claude,T4,B0,3,0.579,0.15,0.5,0.25,-0.216,0.557,0.341,0.268,4.0,3.0,4.0,4.0,2.0,4.0,0.286,0.455,0.091,0,0,
claude,T4,B0,4,0.761,0.731,0.188,0.1,-0.158,0.467,0.309,0.25,4.0,4.0,4.0,5.0,4.0,4.0,0.083,0.545,0.25,0,0,
claude,T4,B0,5,0.744,0.675,0.188,0.25,-0.18,0.5,0.32,0.28,4.0,4.0,4.0,4.0,4.0,4.0,0.25,0.6,0.4,0,0,
claude,T4,B_Op3,1,0.722,0.511,0.5,0.1,-0.254,0.494,0.24,0.273,5.0,3.0,4.0,5.0,2.0,4.0,0.222,0.2,0.364,0,0,False
claude,T4,B_Op3,2,0.693,0.611,0.312,0.1,-0.345,0.539,0.194,0.167,5.0,4.0,4.0,5.0,3.0,4.0,0.444,0.222,0.083,0,0,False
claude,T4,B_Op3,3,0.639,0.549,0.312,0.1,-0.319,0.486,0.167,0.223,5.0,4.0,4.0,5.0,3.0,4.0,0.182,0.083,0.364,0,0,False
claude,T4,B_Op3,4,0.816,0.637,0.5,0.1,-0.305,0.505,0.2,0.236,5.0,3.0,4.0,5.0,2.0,4.0,0.273,0.0,0.182,0,0,False
claude,T4,B_Op3,5,0.558,0.516,0.188,0.1,-0.307,0.517,0.21,0.196,5.0,4.0,4.0,5.0,4.0,4.0,0.333,0.3,0.231,0,0,False
claude,T4,B_Op5,1,0.736,0.625,0.375,0.1,-0.2,0.483,0.283,0.271,5.0,3.0,4.0,5.0,3.0,4.0,0.167,0.417,0.357,0,0,False
claude,T4,B_Op5,2,0.26,0.15,0.188,0.1,-0.34,0.536,0.196,0.196,5.0,4.0,4.0,5.0,4.0,4.0,0.182,0.231,0.231,0,0,False
claude,T4,B_Op5,3,0.754,0.605,0.375,0.25,-0.058,0.481,0.423,0.364,4.0,1.0,4.0,4.0,4.0,4.0,0.154,0.364,0.071,0,0,False
claude,T4,B_Op5,4,0.308,0.15,0.25,0.1,-0.257,0.553,0.296,0.327,4.0,3.0,4.0,5.0,4.0,4.0,0.267,0.231,0.385,0,0,False
claude,T4,B_Op5,5,0.711,0.524,0.375,0.3,-0.06,0.496,0.436,0.431,5.0,1.0,2.0,5.0,4.0,4.0,0.231,0.182,0.154,0,0,False
claude,T4,B_Op7,1,0.191,0.15,0.062,0.1,-0.179,0.438,0.259,0.22,4.0,4.0,4.0,5.0,5.0,4.0,0.188,0.294,0.1,0,0,True
claude,T4,B_Op7,2,0.195,0.15,0.125,0.0,-0.28,0.49,0.21,0.179,4.0,5.0,5.0,5.0,4.0,3.0,0.2,0.3,0.143,0,0,True
claude,T4,B_Op7,3,0.384,0.15,0.25,0.25,-0.229,0.5,0.271,0.246,4.0,4.0,4.0,4.0,4.0,4.0,0.25,0.357,0.231,0,0,True
claude,T4,B_Op7,4,0.26,0.15,0.188,0.1,-0.167,0.424,0.257,0.274,4.0,4.0,4.0,5.0,4.0,4.0,0.118,0.286,0.368,0,0,True
claude,T4,B_Op7,5,0.588,0.532,0.0,0.25,-0.287,0.497,0.21,0.17,4.0,5.0,4.0,4.0,5.0,4.0,0.235,0.3,0.1,0,0,True
claude,T5,B0,1,0.82,0.527,0.188,0.6,-0.139,0.483,0.344,0.3,1.0,4.0,5.0,1.0,4.0,4.0,0.167,0.222,0.0,0,0,
claude,T5,B0,2,0.863,0.5,0.438,0.55,-0.15,0.468,0.318,0.3,2.0,4.0,4.0,2.0,2.0,4.0,0.091,0.091,0.0,0,0,
claude,T5,B0,3,0.706,0.633,0.188,0.25,-0.197,0.517,0.32,0.233,4.0,4.0,4.0,4.0,4.0,4.0,0.333,0.6,0.167,0,0,
claude,T5,B0,4,0.87,0.598,0.312,0.55,-0.111,0.494,0.383,0.318,2.0,4.0,4.0,2.0,3.0,4.0,0.222,0.417,0.091,0,0,
claude,T5,B0,5,0.699,0.625,0.188,0.25,-0.2,0.45,0.25,0.273,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.25,0.364,0,0,
claude,T5,B_Op3,1,0.792,0.611,0.438,0.25,-0.206,0.45,0.244,0.2,4.0,4.0,4.0,4.0,2.0,4.0,0.0,0.222,0.0,0,0,False
claude,T5,B_Op3,2,0.283,0.15,0.188,0.15,-0.17,0.45,0.28,0.225,4.0,4.0,5.0,4.0,4.0,3.0,0.0,0.4,0.125,0,0,True
claude,T5,B_Op3,3,0.672,0.5,0.438,0.1,-0.25,0.45,0.2,0.244,4.0,4.0,4.0,5.0,2.0,4.0,0.0,0.0,0.222,0,0,False
claude,T5,B_Op3,4,0.806,0.5,0.312,0.55,-0.15,0.45,0.3,0.32,2.0,4.0,4.0,2.0,3.0,4.0,0.0,0.0,0.1,0,0,False
claude,T5,B_Op3,5,0.681,0.5,0.438,0.15,-0.3,0.49,0.19,0.165,4.0,4.0,5.0,4.0,2.0,4.0,0.2,0.2,0.077,0,0,False
claude,T5,B_Op5,1,0.347,0.15,0.188,0.25,-0.167,0.472,0.305,0.265,4.0,4.0,4.0,4.0,4.0,3.0,0.111,0.273,0.077,0,0,False
claude,T5,B_Op5,2,0.6,0.55,0.188,0.15,-0.28,0.49,0.21,0.167,4.0,4.0,5.0,4.0,4.0,4.0,0.2,0.3,0.083,1,1,False
claude,T5,B_Op5,3,0.65,0.1,0.625,0.15,-0.06,0.517,0.457,0.422,4.0,1.0,5.0,4.0,2.0,2.0,0.333,0.286,0.111,1,1,False
claude,T5,B_Op5,4,0.75,0.682,0.188,0.25,-0.177,0.45,0.273,0.22,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.364,0.1,0,2,False
claude,T5,B_Op5,5,1.066,0.507,0.562,0.75,-0.053,0.475,0.422,0.45,2.0,4.0,2.0,2.0,1.0,4.0,0.125,0.111,0.25,0,0,False
