dialogue_id,condition,pairing,model_a,model_b,topic,repetition,coupling_lag0,coupling_lag0_p_perm,coupling_lag1_a_to_b,coupling_lag1_b_to_a,bidirectional_index,asymmetry_index,position_convergence,transfer_proxy_a_to_b,transfer_proxy_b_to_a,gamma3_slope_a,gamma3_slope_b,mean_hedge_density_a,mean_hedge_density_b,mean_sycophancy_a,mean_sycophancy_b,sync_trajectory,judge_score_divergence_trajectory,gamma_norm_a_initial,gamma_norm_a_final,gamma_norm_b_initial,gamma_norm_b_final,pairing_type,sync_slope,position_depth_slope,divergence_slope
A_claude_claude_T4_rep01,A,claude_claude,claude,claude,T4,1,-0.0726,0.565,0.0875,0.0825,0.9429,1.0945,1.0,0.6667,0.1667,0.020238,-0.009524,0.3312,0.3234,0.0,0.0,"[0.924, 0.725, 0.845, 0.886, 0.756, 0.76, 1.0, 0.744]","[1.4434, 0.6274, 1.2838, 0.8656, 0.5771, 0.6274, 0.5771, 1.2838]",0.753,0.937,0.829,0.681,homogeneous,-0.0032142857142857272,,-0.04317142857142846
A_claude_claude_T4_rep02,A,claude_claude,claude,claude,T4,2,0.7831,0.028,-0.6952,-0.7459,1.0729,1.5055,1.0,0.0,0.6667,-0.004762,-0.004762,0.288,0.2374,0.0,0.0,"[0.87, 0.95, 0.915, 0.958, 0.986, 0.834, 0.875, 0.809]","[1.3411, 0.8367, 0.9885, 1.0703, 0.8007, 0.7719, 0.8367, 0.7071]",0.875,0.72,0.745,0.529,homogeneous,-0.012107142857142778,,-0.06377857142857137
A_claude_claude_T4_rep03,A,claude_claude,claude,claude,T4,3,0.5791,0.091,-0.8083,0.005,-161.66,0.9249,1.0,0.5,0.6667,-0.002381,-0.015476,0.3468,0.4229,0.0,0.0,"[0.996, 0.95, 0.68, 0.991, 0.663, 0.965, 0.759, 0.808]","[1.1547, 0.7719, 1.248, 0.9885, 0.8007, 0.9183, 1.2055, 1.0054]",0.75,0.687,0.754,0.495,homogeneous,-0.02076190476190474,,-0.0006428571428571231
A_claude_claude_T4_rep04,A,claude_claude,claude,claude,T4,4,0.1099,0.413,0.1603,-0.4982,-3.1079,1.1318,1.0,0.5,0.5,-0.004762,0.010714,0.1978,0.196,0.0,0.0,"[0.99, 0.723, 0.917, 0.927, 0.956, 0.767, 0.7, 0.791]","[1.1547, 0.642, 0.8656, 0.7719, 0.4472, 0.5771, 0.9183, 0.4974]",0.747,0.568,0.737,0.777,homogeneous,-0.02296428571428568,,-0.05249761904761901
A_claude_claude_T4_rep05,A,claude_claude,claude,claude,T4,5,0.3448,0.233,-0.2451,-0.3375,1.377,0.309,1.0,0.8333,0.1667,-0.002381,0.0,0.4223,0.3639,0.0,0.0,"[0.917, 0.787, 0.887, 0.961, 0.695, 0.819, 0.849, 0.969]","[1.4434, 0.7071, 1.0952, 0.7937, 1.4068, 0.6922, 0.9885, 0.9237]",0.742,0.612,0.825,0.643,homogeneous,0.002428571428571471,,-0.03365238095238085
A_claude_gpt4o_T4_rep01,A,claude_gpt4o,claude,gpt4o,T4,1,0.5499,0.102,-0.8448,-0.4837,1.7465,3.3064,1.0,0.1667,0.8333,-0.015476,-0.017857,0.2856,0.2662,0.0,0.0,"[0.83, 0.772, 0.952, 0.956, 0.771, 0.772, 0.916, 0.978]","[1.3411, 1.0054, 1.3038, 1.0703, 1.1402, 0.8755, 0.9237, 1.0054]",0.739,0.745,0.909,0.767,heterogeneous,0.012273809523809555,,-0.04730238095238078
A_claude_gpt4o_T4_rep02,A,claude_gpt4o,claude,gpt4o,T4,2,0.7044,0.048,-0.9565,-0.0946,10.111,1.459,0.25,0.1667,0.5,-0.00119,0.020238,0.3746,0.229,0.0,0.0,"[0.8, 0.996, 0.957, 0.969, 0.986, 0.696, 0.901, 0.78]","[0.866, 0.8755, 1.4068, 1.1519, 0.9237, 0.7937, 1.222, 0.9885]",0.634,0.495,0.834,0.715,heterogeneous,-0.016440476190476224,,0.006220238095238132
A_claude_gpt4o_T4_rep03,A,claude_gpt4o,claude,gpt4o,T4,3,0.1177,0.395,-0.5946,0.2335,-2.5465,2.3017,1.0,0.1667,1.0,0.029762,0.005952,0.2631,0.23,0.0,0.0,"[0.801, 0.594, 0.769, 0.549, 0.551, 0.848, 0.687, 0.994]","[0.866, 1.0991, 0.9885, 0.9237, 1.222, 1.3038, 0.8367, 1.222]",0.637,0.808,0.836,0.802,heterogeneous,0.02446428571428571,,0.02885952380952387
A_claude_gpt4o_T4_rep04,A,claude_gpt4o,claude,gpt4o,T4,4,0.5145,0.077,0.5007,-0.7516,-1.5011,1.6567,0.75,0.6667,0.5,-0.009524,0.008333,0.3262,0.295,0.0,0.0,"[1.0, 0.767, 0.955, 0.994, 0.651, 0.756, 0.733, 0.615]","[1.366, 1.222, 0.9885, 1.1402, 0.9885, 1.0991, 0.8439, 1.0703]",0.83,0.495,0.83,0.88,heterogeneous,-0.04529761904761893,,-0.04500357142857137
A_claude_gpt4o_T4_rep05,A,claude_gpt4o,claude,gpt4o,T4,5,-0.27,0.681,0.3131,0.2698,0.8617,2.4072,0.75,0.1667,0.8333,-0.015476,0.007143,0.3761,0.2744,0.0625,0.0,"[0.863, 0.63, 0.941, 0.965, 0.588, 0.853, 0.486, 0.75]","[1.3411, 0.966, 1.4886, 1.4999, 1.222, 1.0991, 1.0703, 0.9659]",0.762,0.568,0.899,0.818,heterogeneous,-0.02561904761904757,,-0.042277380952380865
A_gpt4o_claude_T4_rep01,A,gpt4o_claude,gpt4o,claude,T4,1,0.4288,0.151,0.2921,-0.7979,-2.7316,1.0248,0.5,0.6667,0.5,0.003571,0.0,0.1926,0.4064,0.0,0.0625,"[0.962, 0.722, 0.781, 0.941, 0.612, 0.963, 0.913, 0.902]","[1.6298, 1.0703, 0.9258, 1.0892, 1.0703, 1.0173, 0.7937, 0.9885]",0.878,0.889,0.84,0.791,heterogeneous,0.008952380952380967,,-0.06686309523809517
A_gpt4o_claude_T4_rep02,A,gpt4o_claude,gpt4o,claude,T4,2,-0.0805,0.576,0.0922,0.2691,0.3426,1.08,0.75,0.5,0.6667,0.009524,0.003571,0.2087,0.3134,0.0,0.0,"[0.843, 0.55, 0.953, 0.951, 0.757, 0.972, 0.853, 0.598]","[1.3411, 0.9885, 1.0173, 1.3038, 1.1119, 0.9885, 0.8755, 0.9885]",0.909,1.045,0.752,0.643,heterogeneous,-0.004011904761904738,,-0.039422619047618984
A_gpt4o_claude_T4_rep03,A,gpt4o_claude,gpt4o,claude,T4,3,0.0851,0.42,-0.5806,0.5178,-1.1213,0.7132,1.0,0.6667,0.5,0.008333,-0.015476,0.2993,0.3701,0.0,0.0,"[0.863, 0.624, 0.967, 0.97, 0.935, 0.965, 0.637, 0.643]","[1.3411, 0.9237, 1.0054, 1.0173, 0.9258, 0.7937, 0.9237, 1.0703]",0.884,0.715,0.747,0.358,heterogeneous,-0.01804761904761903,,-0.03121666666666657
A_gpt4o_claude_T4_rep04,A,gpt4o_claude,gpt4o,claude,T4,4,-0.648,0.937,-0.3647,0.3461,-1.0537,0.3891,0.25,0.5,0.3333,0.009524,-0.004762,0.2675,0.2606,0.0,0.0,"[0.834, 0.7, 0.957, 0.88, 0.703, 0.978, 0.696, 0.872]","[1.0525, 0.9258, 0.9237, 0.9659, 1.1825, 0.7937, 1.0054, 1.1402]",0.72,0.715,0.886,0.843,heterogeneous,0.0015714285714286131,,0.009982142857142925
A_gpt4o_claude_T4_rep05,A,gpt4o_claude,gpt4o,claude,T4,5,-0.3898,0.834,0.4128,-0.0684,-0.1657,0.5118,0.5,0.8333,0.1667,0.014286,-0.013095,0.1537,0.2451,0.0,0.0625,"[0.916, 0.872, 0.924, 0.778, 0.897, 0.903, 0.593, 0.674]","[1.4434, 0.8359, 0.9258, 1.0701, 0.8439, 0.8439, 0.9885, 0.7937]",0.818,0.894,0.734,0.568,heterogeneous,-0.03610714285714276,,-0.050676190476190375
A_gpt4o_gpt4o_T4_rep01,A,gpt4o_gpt4o,gpt4o,gpt4o,T4,1,-0.5843,0.909,0.6256,0.2921,0.4669,1.1007,1.0,0.8333,0.6667,0.008333,0.004762,0.3049,0.2341,0.0,0.0,"[0.96, 0.711, 0.96, 0.911, 0.672, 0.956, 0.763, 0.702]","[1.6298, 1.222, 1.2643, 1.222, 1.222, 1.222, 1.4102, 1.222]",0.879,0.715,0.839,1.013,homogeneous,-0.021392857142857144,,-0.02429166666666663
A_gpt4o_gpt4o_T4_rep02,A,gpt4o_gpt4o,gpt4o,gpt4o,T4,2,0.3005,0.269,-0.1982,0.4243,-0.4671,0.4482,1.0,0.8333,0.3333,0.008333,0.007143,0.2701,0.283,0.0,0.0,"[0.985, 0.937, 0.966, 0.842, 0.857, 0.761, 0.947, 0.836]","[1.7321, 1.3038, 1.3038, 1.222, 1.4102, 1.2643, 1.3038, 1.222]",0.852,1.04,0.837,0.876,homogeneous,-0.018964285714285625,,-0.041678571428571363
A_gpt4o_gpt4o_T4_rep03,A,gpt4o_gpt4o,gpt4o,gpt4o,T4,3,0.5343,0.099,0.1662,-0.3562,-2.1432,0.3915,1.0,0.6667,0.5,0.008333,0.020238,0.2005,0.2057,0.0,0.0,"[0.938, 0.685, 0.954, 0.988, 0.999, 1.0, 0.822, 0.762]","[1.6298, 1.3038, 1.1402, 1.1402, 1.0054, 1.222, 1.3038, 1.1402]",0.828,1.021,0.89,0.783,homogeneous,-0.004738095238095191,,-0.03948333333333322
A_gpt4o_gpt4o_T4_rep04,A,gpt4o_gpt4o,gpt4o,gpt4o,T4,4,0.5693,0.102,-0.4185,-0.3215,1.3017,1.0992,0.5,0.3333,0.6667,0.008333,0.004762,0.2056,0.2406,0.0,0.0,"[0.911, 0.994, 0.92, 0.845, 0.911, 0.949, 0.981, 0.979]","[1.5275, 1.1402, 1.1996, 1.222, 1.1402, 1.1402, 1.1402, 1.222]",0.845,0.89,0.934,0.869,homogeneous,0.00671428571428579,,-0.028553571428571373
A_gpt4o_gpt4o_T4_rep05,A,gpt4o_gpt4o,gpt4o,gpt4o,T4,5,-0.2483,0.703,-0.5288,0.6368,-0.8304,0.7762,0.75,0.3333,0.6667,-0.007143,0.008333,0.2362,0.1604,0.0,0.0,"[0.763, 0.915, 0.992, 0.794, 0.749, 0.753, 0.941, 0.952]","[1.366, 1.1402, 1.222, 1.3038, 1.222, 1.3038, 1.3038, 1.4886]",0.824,0.914,1.061,0.866,homogeneous,0.008226190476190607,,0.021902380952381006
B_claude_claude_T4_rep01,B,claude_claude,claude,claude,T4,1,0.1678,0.344,0.1521,0.2829,0.5376,0.6285,0.75,0.8333,0.3333,0.00119,-0.042262,0.3344,0.3255,0.0,0.0625,"[0.92, 0.949, 0.907, 0.556, 0.956, 0.786, 0.602, 0.807]","[1.4434, 0.4472, 0.7071, 0.642, 0.8007, 0.9652, 0.6922, 0.966]",0.817,0.725,0.737,0.532,homogeneous,-0.029630952380952303,,-0.01409285714285706
B_claude_claude_T4_rep02,B,claude_claude,claude,claude,T4,2,0.3064,0.222,0.119,0.0193,0.1622,0.6862,0.75,0.6667,0.1667,0.003571,-0.052976,0.1713,0.2203,0.0,0.0625,"[0.992, 0.818, 0.956, 0.994, 0.735, 0.688, 0.789, 0.837]","[1.1547, 0.5771, 0.4974, 0.9885, 0.6922, 1.0321, 0.8007, 0.721]",0.734,0.723,0.742,0.56,homogeneous,-0.027297619047619005,,-0.007263095238095202
B_claude_claude_T4_rep03,B,claude_claude,claude,claude,T4,3,-0.0026,0.466,0.8163,-0.6789,-0.8317,1.232,1.0,0.6667,0.6667,0.008333,-0.014286,0.2003,0.2814,0.0,0.1875,"[0.989, 0.717, 0.845, 0.962, 0.958, 0.84, 0.751, 0.94]","[1.1547, 0.4472, 0.6708, 0.7937, 0.9012, 1.3038, 0.9446, 0.5771]",0.726,0.557,0.737,0.617,homogeneous,-0.002285714285714241,,0.005360714285714318
B_claude_claude_T4_rep04,B,claude_claude,claude,claude,T4,4,0.564,0.133,-0.451,0.4608,-0.9787,0.8177,1.0,0.6667,0.5,0.0,-0.031548,0.2983,0.3438,0.0,0.0,"[0.968, 0.953, 0.802, 0.809, 0.962, 0.938, 0.873, 0.842]","[1.0774, 0.642, 0.6922, 0.9659, 1.0173, 0.5771, 1.4924, 0.6274]",0.787,0.727,0.755,0.569,homogeneous,-0.008583333333333276,,0.009620238095238149
B_claude_claude_T4_rep05,B,claude_claude,claude,claude,T4,5,0.367,0.201,-0.074,-0.2697,3.6446,1.0596,0.75,0.6667,0.5,-0.022619,-0.005952,0.2687,0.3718,0.0,0.25,"[0.941, 0.835, 0.892, 0.88, 0.837, 0.792, 0.775, 0.719]","[1.366, 0.7719, 0.642, 0.6922, 0.6274, 1.0054, 0.7071, 1.0307]",0.793,0.791,0.852,0.51,homogeneous,-0.026154761904761837,,-0.0195916666666666
B_claude_gpt4o_T4_rep01,B,claude_gpt4o,claude,gpt4o,T4,1,0.4571,0.181,-0.1351,-0.6924,5.1251,0.7773,1.0,0.6667,0.5,-0.004762,0.026786,0.2462,0.1975,0.0,0.0,"[0.833, 0.797, 0.698, 0.82, 0.946, 0.853, 0.956, 0.712]","[1.1547, 0.642, 1.0452, 1.3779, 1.2772, 0.7937, 0.8007, 0.9307]",0.655,0.568,0.822,0.856,heterogeneous,0.006416666666666659,,-0.01940119047619038
B_claude_gpt4o_T4_rep02,B,claude_gpt4o,claude,gpt4o,T4,2,0.7472,0.032,-0.578,-0.8915,1.5424,0.7073,0.25,0.5,0.3333,0.019048,-0.007143,0.3112,0.1797,0.0,0.0,"[0.878, 0.752, 0.985, 0.967, 0.75, 0.876, 0.966, 0.984]","[1.4434, 1.0452, 0.9446, 1.1254, 1.3038, 1.1766, 1.0173, 1.3917]",0.848,0.723,0.97,0.739,heterogeneous,0.015095238095238182,,0.0044404761904762325
B_claude_gpt4o_T4_rep03,B,claude_gpt4o,claude,gpt4o,T4,3,0.8785,0.004,-0.3374,-0.9126,2.7048,1.2045,0.25,0.5,0.5,-0.011905,0.013095,0.2978,0.2052,0.0625,0.0,"[0.993, 0.84, 0.926, 0.971, 0.927, 0.925, 0.791, 0.729]","[1.7321, 1.0703, 1.0703, 1.2772, 0.8536, 0.9237, 0.9307, 0.9012]",0.83,0.568,0.823,0.839,heterogeneous,-0.025476190476190402,,-0.08782976190476179
B_claude_gpt4o_T4_rep04,B,claude_gpt4o,claude,gpt4o,T4,4,-0.0859,0.566,0.1428,-0.5515,-3.862,0.8774,0.5,0.5,0.5,0.009524,0.018452,0.3024,0.269,0.0,0.0625,"[0.752, 0.916, 0.969, 0.624, 0.994, 0.84, 0.938, 0.877]","[0.866, 1.0307, 1.1543, 1.5437, 1.2399, 0.9809, 0.8359, 1.0321]",0.591,0.832,0.839,0.709,heterogeneous,0.011523809523809566,,-0.007563095238095231
B_claude_gpt4o_T4_rep05,B,claude_gpt4o,claude,gpt4o,T4,5,-0.3787,0.811,0.2399,0.1137,0.4739,0.7008,1.0,0.6667,0.6667,-0.00119,0.02619,0.189,0.1636,0.0,0.0,"[0.961, 0.726, 0.736, 0.833, 0.995, 0.918, 0.893, 0.348]","[1.0774, 1.0892, 1.0892, 1.1119, 0.966, 1.2409, 1.0243, 0.8359]",0.745,0.568,0.784,1.22,heterogeneous,-0.03271428571428565,,-0.0203071428571428
B_gpt4o_claude_T4_rep01,B,gpt4o_claude,gpt4o,claude,T4,1,0.8091,0.019,-0.8898,-0.246,3.6171,0.5712,0.75,0.6667,0.3333,0.011905,-0.003571,0.212,0.2651,0.0,0.0625,"[0.823, 0.727, 0.582, 0.863, 0.792, 0.592, 0.693, 0.648]","[0.866, 1.3227, 0.6123, 0.8755, 1.0991, 0.8755, 0.7937, 0.7937]",0.748,1.03,0.571,0.678,heterogeneous,-0.017095238095238042,,-0.02545119047619045
B_gpt4o_claude_T4_rep02,B,gpt4o_claude,gpt4o,claude,T4,2,0.0204,0.468,0.2878,-0.7194,-2.4997,1.2706,0.75,0.3333,0.5,0.014286,-0.027381,0.2667,0.2797,0.0,0.0,"[0.896, 0.808, 0.791, 0.807, 0.798, 0.757, 0.649, 0.836]","[1.4434, 0.6123, 1.1996, 1.0991, 0.9819, 1.222, 1.3284, 1.5179]",0.844,0.873,0.74,0.709,heterogeneous,-0.01578571428571422,,0.04823809523809528
B_gpt4o_claude_T4_rep03,B,gpt4o_claude,gpt4o,claude,T4,3,-0.4204,0.858,-0.2404,-0.2048,1.1738,1.197,1.0,0.3333,0.3333,0.0,-0.025595,0.1755,0.2496,0.0,0.0,"[0.992, 0.782, 0.71, 0.999, 0.869, 0.425, 0.532, 0.742]","[1.7321, 1.0991, 1.0173, 0.7937, 1.0173, 0.7937, 1.0173, 1.2409]",0.819,0.98,0.827,0.722,heterogeneous,-0.04744047619047613,,-0.05112619047619036
B_gpt4o_claude_T4_rep04,B,gpt4o_claude,gpt4o,claude,T4,4,-0.3572,0.778,-0.0748,0.0281,-2.6619,0.409,0.75,0.6667,0.3333,0.008333,-0.042857,0.2548,0.3485,0.0,0.0,"[0.917, 0.489, 0.965, 0.817, 0.368, 0.628, 0.837, 0.932]","[1.366, 0.8755, 1.4339, 1.4735, 1.4102, 0.9885, 1.3284, 1.5179]",0.85,0.715,0.767,0.783,heterogeneous,0.0045833333333333585,,0.02295595238095246
B_gpt4o_claude_T4_rep05,B,gpt4o_claude,gpt4o,claude,T4,5,0.1583,0.405,-0.2491,-0.2327,1.0705,0.48,0.75,0.6667,0.3333,0.007143,-0.047024,0.1534,0.2905,0.0,0.0,"[0.778, 0.998, 0.59, 0.777, 0.969, 0.799, 0.651, 0.602]","[0.7638, 1.2185, 0.8755, 0.7937, 1.5206, 1.0307, 1.1996, 1.3917]",0.862,0.872,0.64,0.474,heterogeneous,-0.025571428571428575,,0.06539642857142852
B_gpt4o_gpt4o_T4_rep01,B,gpt4o_gpt4o,gpt4o,gpt4o,T4,1,-0.1622,0.655,-0.0392,0.5948,-0.0659,0.5194,0.25,0.6667,0.5,0.008333,-0.020833,0.31,0.2216,0.0,0.0,"[0.943, 0.923, 0.739, 0.906, 0.743, 0.686, 0.896, 0.849]","[1.366, 1.2409, 1.3227, 1.2772, 1.2643, 1.3038, 1.359, 1.4102]",0.83,0.892,0.773,0.741,homogeneous,-0.01327380952380949,,0.009884523809523895
B_gpt4o_gpt4o_T4_rep02,B,gpt4o_gpt4o,gpt4o,gpt4o,T4,2,0.0845,0.437,-0.5047,0.0817,-6.1775,0.3371,1.0,0.5,0.5,0.010714,-0.042262,0.3044,0.3036,0.0,0.0,"[0.983, 0.872, 0.939, 0.557, 0.703, 0.695, 0.418, 0.991]","[1.7321, 1.2643, 1.0054, 1.2772, 1.2772, 1.1402, 1.2409, 1.4102]",0.845,0.945,0.862,0.936,homogeneous,-0.03333333333333322,,-0.023403571428571395
B_gpt4o_gpt4o_T4_rep03,B,gpt4o_gpt4o,gpt4o,gpt4o,T4,3,0.9141,0.001,-0.2044,-0.3537,1.7304,0.8048,1.0,0.6667,0.3333,0.007143,0.015476,0.2139,0.212,0.0,0.0,"[0.907, 0.871, 0.739, 0.866, 0.84, 0.877, 0.818, 0.879]","[1.6298, 1.4613, 1.3227, 1.359, 1.2832, 1.1996, 1.3284, 1.2409]",0.928,0.715,0.835,0.594,homogeneous,-0.000869047619047519,,-0.04561785714285702
B_gpt4o_gpt4o_T4_rep04,B,gpt4o_gpt4o,gpt4o,gpt4o,T4,4,-0.3284,0.789,0.0125,0.1328,0.0941,0.5349,1.0,0.6667,0.5,0.008333,-0.007738,0.1774,0.2186,0.0,0.0,"[0.819, 0.83, 0.689, 0.558, 0.863, 0.908, 0.529, 0.477]","[1.2637, 1.3917, 1.4102, 1.2772, 1.4735, 1.1996, 1.3917, 1.3917]",1.065,1.014,0.884,0.491,homogeneous,-0.034964285714285656,,0.005482142857142955
B_gpt4o_gpt4o_T4_rep05,B,gpt4o_gpt4o,gpt4o,gpt4o,T4,5,-0.6135,0.921,0.5102,0.1489,0.2918,1.0744,0.5,0.8333,0.5,-0.004762,0.001786,0.2519,0.2345,0.0,0.0,"[0.899, 0.901, 0.842, 0.798, 0.844, 0.608, 0.474, 0.834]","[1.4434, 1.2643, 1.222, 1.2409, 1.1178, 1.2772, 1.3227, 1.1996]",0.847,0.762,0.948,0.928,homogeneous,-0.03864285714285714,,-0.01633452380952369
C_claude_claude_T4_rep01,C,claude_claude,claude,claude,T4,1,0.2262,0.317,0.3356,-0.3644,-1.0858,0.915,0.75,0.6667,0.6667,-0.032143,-0.034524,0.4853,0.4224,0.0625,0.125,"[0.917, 0.68, 0.821, 0.892, 0.817, 0.917, 0.753, 0.753]","[1.4434, 0.4974, 1.4339, 1.0054, 1.5206, 1.4291, 0.7071, 1.222]",0.754,0.71,0.837,0.463,homogeneous,-0.006785714285714273,,-5.952380952313567e-06
C_claude_claude_T4_rep02,C,claude_claude,claude,claude,T4,2,0.1108,0.406,0.0068,-0.1702,-25.0294,0.6107,0.75,0.5,0.3333,-0.02619,0.015476,0.3066,0.3997,0.0416,0.125,"[0.874, 0.525, 0.615, 0.913, 0.913, 0.913, 0.757, 0.788]","[0.5774, 0.4974, 0.4974, 0.7583, 0.8359, 0.8216, 0.8944, 1.0173]",0.731,0.78,0.605,0.568,homogeneous,0.017285714285714317,,0.0727916666666667
C_claude_claude_T4_rep03,C,claude_claude,claude,claude,T4,3,0.0821,0.391,-0.2631,-0.008,32.8875,0.7803,0.75,0.8333,0.5,-0.033333,-0.017857,0.4051,0.3656,0.2084,0.0625,"[0.913, 0.516, 0.961, 0.989, 0.941, 0.73, 0.701, 0.996]","[1.4434, 0.721, 0.6274, 0.4472, 0.4472, 0.4183, 0.8216, 0.5771]",0.824,0.427,0.737,0.431,homogeneous,0.009107142857142883,,-0.07367142857142848
C_claude_claude_T4_rep04,C,claude_claude,claude,claude,T4,4,0.2364,0.296,-0.5917,0.7264,-0.8146,1.1009,1.0,0.3333,0.8333,-0.039286,-0.058333,0.4209,0.4079,0.125,0.0625,"[0.993, 0.777, 0.955, 0.9, 0.666, 0.937, 0.617, 0.906]","[0.866, 0.9012, 0.6708, 0.5477, 0.5477, 1.2643, 1.4339, 1.2399]",0.736,0.738,0.729,0.644,homogeneous,-0.020202380952380868,,0.0840630952380952
C_claude_claude_T4_rep05,C,claude_claude,claude,claude,T4,5,0.5775,0.086,-0.0459,-0.3549,7.732,0.5635,1.0,1.0,0.3333,-0.044048,-0.024405,0.3369,0.3075,0.1459,0.0625,"[0.978, 0.922, 0.813, 1.0, 0.909, 0.929, 0.974, 0.881]","[1.1547, 0.0, 0.4183, 0.4974, 1.0452, 0.8755, 0.7713, 0.4974]",0.74,0.594,0.762,0.475,homogeneous,-0.0019285714285713774,,0.013985714285714303
C_claude_gpt4o_T4_rep01,C,claude_gpt4o,claude,gpt4o,T4,1,0.2147,0.315,-0.334,-0.0771,4.332,0.9161,0.75,0.3333,0.6667,-0.049405,-0.036905,0.2781,0.15,0.0625,0.0625,"[0.761, 0.752, 0.928, 0.6, 0.838, 0.882, 0.696, 0.797]","[1.1547, 0.8944, 0.6708, 1.1996, 0.8216, 1.0321, 0.721, 0.9809]",0.739,0.7,0.978,0.903,heterogeneous,0.0008571428571428367,,-0.016401190476190437
C_claude_gpt4o_T4_rep02,C,claude_gpt4o,claude,gpt4o,T4,2,0.2588,0.304,0.9554,0.1288,0.1348,0.6088,0.75,0.6667,0.3333,-0.02381,0.002976,0.2601,0.19,0.0625,0.0,"[0.94, 0.95, 0.738, 0.996, 0.949, 0.977, 0.993, 0.862]","[1.6298, 0.9307, 0.7071, 1.5287, 1.1123, 0.9809, 0.6708, 0.9307]",0.82,0.713,0.88,0.851,heterogeneous,0.00403571428571434,,-0.06890714285714275
C_claude_gpt4o_T4_rep03,C,claude_gpt4o,claude,gpt4o,T4,3,-0.1935,0.699,0.8566,0.1058,0.1235,1.725,1.0,0.5,0.6667,-0.029762,-0.00119,0.293,0.2411,0.0,0.0,"[0.901, 0.958, 0.918, 0.703, 0.859, 0.876, 0.73, 0.992]","[1.4434, 1.118, 1.0054, 1.118, 0.9446, 0.8755, 0.8755, 0.9949]",0.745,0.757,0.844,0.749,heterogeneous,-0.005630952380952305,,-0.05851309523809519
C_claude_gpt4o_T4_rep04,C,claude_gpt4o,claude,gpt4o,T4,4,-0.4992,0.884,0.5465,0.4686,0.8575,0.8486,1.0,0.8333,0.6667,-0.026786,-0.041071,0.2983,0.2659,0.0,0.0625,"[0.859, 0.378, 0.816, 0.705, 0.559, 0.998, 0.994, 0.968]","[1.3411, 0.7937, 0.9446, 0.8944, 0.9809, 0.4472, 1.3038, 0.2738]",0.743,0.36,0.884,0.328,heterogeneous,0.050511904761904806,,-0.07531309523809517
