dialogue_id,condition,pairing,model_a,model_b,topic,repetition,coupling_lag0,coupling_lag0_p_perm,coupling_lag1_a_to_b,coupling_lag1_b_to_a,bidirectional_index,asymmetry_index,position_convergence,transfer_proxy_a_to_b,transfer_proxy_b_to_a,gamma3_slope_a,gamma3_slope_b,mean_hedge_density_a,mean_hedge_density_b,mean_sycophancy_a,mean_sycophancy_b,sync_trajectory,judge_score_divergence_trajectory,gamma_norm_a_initial,gamma_norm_a_final,gamma_norm_b_initial,gamma_norm_b_final,pairing_type,sync_slope,position_depth_slope,divergence_slope
C_claude_gpt4o_T4_rep05,C,claude_gpt4o,claude,gpt4o,T4,5,0.0568,0.437,0.7845,0.5957,0.7593,1.3881,0.25,0.8333,0.6667,-0.0125,0.01369,0.3676,0.183,0.0,0.0,"[0.832, 0.952, 0.594, 0.91, 0.672, 0.852, 0.532, 0.722]","[0.5, 1.3284, 0.9012, 0.8944, 1.4102, 1.2409, 1.306, 1.3779]",0.627,0.358,0.795,0.636,heterogeneous,-0.027785714285714264,,0.0900976190476191
C_gpt4o_claude_T4_rep01,C,gpt4o_claude,gpt4o,claude,T4,1,-0.2089,0.649,0.4127,0.1833,0.4441,1.0794,0.75,0.6667,0.6667,-0.007143,-0.0125,0.2644,0.3036,0.0,0.0,"[0.911, 0.683, 0.886, 0.95, 0.608, 0.993, 0.604, 0.532]","[1.4434, 0.8944, 1.5166, 0.2738, 1.2548, 1.3779, 1.0054, 0.8944]",0.842,0.93,0.753,0.462,heterogeneous,-0.036535714285714206,,-0.0324178571428571
C_gpt4o_claude_T4_rep02,C,gpt4o_claude,gpt4o,claude,T4,2,-0.7235,0.967,0.7403,0.8053,0.9193,0.8046,0.75,1.0,1.0,-0.020238,-0.032738,0.2065,0.2916,0.0,0.0,"[0.899, 0.976, 0.635, 0.719, 0.981, 0.793, 0.816, 0.988]","[1.4434, 0.6519, 0.8862, 1.0243, 0.9446, 0.6708, 0.9446, 0.8944]",0.847,0.715,0.746,0.727,heterogeneous,0.006654761904761928,,-0.03696904761904756
C_gpt4o_claude_T4_rep03,C,gpt4o_claude,gpt4o,claude,T4,3,0.2516,0.28,-0.3648,0.5303,-0.6879,0.6396,0.75,0.5,0.5,-0.021429,-0.020238,0.1945,0.4265,0.0,0.0,"[0.812, 0.725, 0.547, 0.976, 0.594, 0.757, 0.728, 0.834]","[1.0525, 0.6708, 1.1119, 1.4613, 0.9446, 1.1178, 1.3038, 1.5791]",0.877,0.924,0.689,0.758,heterogeneous,0.004964285714285722,,0.07562142857142855
C_gpt4o_claude_T4_rep04,C,gpt4o_claude,gpt4o,claude,T4,4,0.8373,0.005,-0.8642,-0.1782,4.8496,1.0505,0.75,0.5,0.6667,-0.00119,-0.027976,0.3073,0.3719,0.0,0.0,"[0.974, 0.795, 0.867, 0.999, 0.907, 0.962, 0.849, 0.813]","[1.1547, 0.721, 1.1766, 1.0892, 0.9258, 1.359, 1.4102, 1.3194]",0.741,0.827,0.767,0.64,heterogeneous,-0.007904761904761902,,0.059317857142857124
C_gpt4o_claude_T4_rep05,C,gpt4o_claude,gpt4o,claude,T4,5,0.3578,0.217,0.433,-0.5438,-1.2559,1.3268,0.75,0.3333,0.8333,-0.017857,-0.047024,0.257,0.3352,0.0,0.0,"[0.9, 0.88, 0.984, 0.69, 0.924, 0.692, 0.673, 0.868]","[1.4434, 0.5701, 1.0452, 0.7738, 1.2055, 0.9809, 0.966, 0.721]",0.854,0.713,0.754,0.581,heterogeneous,-0.022630952380952345,,-0.033791666666666595
C_gpt4o_gpt4o_T4_rep01,C,gpt4o_gpt4o,gpt4o,gpt4o,T4,1,-0.4777,0.844,0.0529,0.6095,0.0868,0.4088,1.0,0.8333,0.3333,0.024405,0.045833,0.2381,0.2779,0.0,0.0,"[0.967, 0.882, 0.752, 0.879, 0.75, 0.494, 0.791, 0.976]","[1.5275, 1.359, 1.4102, 1.3227, 1.3416, 0.9809, 1.4291, 1.4291]",0.845,0.988,0.878,0.964,homogeneous,-0.015416666666666573,,-0.019134523809523764
C_gpt4o_gpt4o_T4_rep02,C,gpt4o_gpt4o,gpt4o,gpt4o,T4,2,0.3707,0.203,-0.6136,0.0577,-10.6343,0.6977,1.0,0.8333,0.5,0.03869,0.03869,0.1849,0.1591,0.0625,0.0,"[0.982, 0.639, 0.905, 0.97, 0.974, 0.732, 0.977, 0.9]","[1.7321, 1.2409, 1.359, 1.5166, 1.0243, 1.2185, 1.2185, 1.2185]",0.84,1.01,0.822,1.11,homogeneous,0.0071547619047618765,,-0.05501190476190466
C_gpt4o_gpt4o_T4_rep03,C,gpt4o_gpt4o,gpt4o,gpt4o,T4,3,-0.0444,0.549,-0.1822,0.8756,-0.2081,1.0961,1.0,0.5,0.8333,0.040476,0.068452,0.1,0.0935,0.0625,0.0,"[0.934, 0.779, 0.66, 0.962, 0.908, 0.884, 0.926, 0.924]","[1.5275, 1.118, 1.2185, 1.0954, 0.4472, 0.8862, 0.5477, 0.721]",0.923,1.105,0.857,1.181,homogeneous,0.015273809523809509,,-0.12073928571428565
C_gpt4o_gpt4o_T4_rep04,C,gpt4o_gpt4o,gpt4o,gpt4o,T4,4,0.4487,0.203,-0.34,-0.4106,1.2076,1.023,0.5,0.5,0.6667,0.025,0.045833,0.1815,0.1661,0.0,0.0,"[0.94, 0.981, 0.711, 0.592, 0.75, 0.872, 0.904, 0.987]","[1.6298, 1.1601, 1.5287, 1.3779, 1.2185, 1.3706, 1.2832, 1.2185]",0.889,0.978,0.829,0.991,homogeneous,0.006964285714285782,,-0.03449166666666667
C_gpt4o_gpt4o_T4_rep05,C,gpt4o_gpt4o,gpt4o,gpt4o,T4,5,0.8046,0.022,-0.9176,-0.707,1.2979,0.9752,0.25,0.6667,0.5,0.01369,0.042262,0.1155,0.1057,0.0,0.0,"[0.958, 0.811, 0.823, 0.898, 0.953, 0.852, 0.72, 0.992]","[1.6298, 1.3038, 1.222, 1.5287, 1.1996, 1.2548, 1.2185, 1.2832]",0.877,0.844,0.835,0.852,homogeneous,-0.0008928571428571497,,-0.03670714285714274
D_claude_claude_T4_rep01,D,claude_claude,claude,claude,T4,1,0.1447,0.383,0.0876,-0.5736,-6.5479,1.6726,1.0,0.3333,0.8333,0.011905,0.033333,0.2632,0.1016,0.0,0.0,"[0.882, 0.659, 0.911, 0.837, 0.742, 0.615, 0.711, 0.721]","[1.0774, 0.8656, 0.642, 1.0703, 1.0307, 0.9885, 1.3117, 1.2583]",0.848,0.849,0.73,1.128,homogeneous,-0.022023809523809477,,0.05353214285714291
D_claude_claude_T4_rep02,D,claude_claude,claude,claude,T4,2,0.1776,0.338,-0.1944,-0.2493,1.2824,1.2504,0.75,0.8333,0.5,0.007143,0.015476,0.275,0.2524,0.0,0.0,"[0.994, 0.95, 0.883, 0.96, 0.699, 0.723, 0.766, 0.828]","[1.1547, 0.7719, 1.0703, 0.7719, 0.7937, 0.4974, 1.0991, 0.9885]",0.731,0.495,0.737,0.667,homogeneous,-0.033607142857142856,,-0.014574999999999977
D_claude_claude_T4_rep03,D,claude_claude,claude,claude,T4,3,0.7422,0.035,-0.3382,-0.2089,1.619,2.5549,1.0,0.1667,0.6667,0.003571,0.029762,0.3322,0.2144,0.0,0.0625,"[0.764, 0.899, 0.845, 0.95, 0.961, 0.855, 0.799, 0.606]","[0.866, 0.7071, 0.642, 0.8367, 1.1519, 1.3607, 1.0703, 1.0991]",0.85,0.432,0.614,0.826,homogeneous,-0.018630952380952377,,0.07046428571428572
D_claude_claude_T4_rep04,D,claude_claude,claude,claude,T4,4,-0.0253,0.513,-0.1479,-0.015,9.86,0.7197,0.75,0.6667,0.3333,-0.00119,0.020238,0.2476,0.3486,0.0,0.0,"[0.88, 0.91, 0.867, 0.878, 0.758, 0.678, 0.916, 0.725]","[0.5774, 0.4472, 1.0321, 0.7071, 0.8439, 1.0243, 1.2416, 0.7937]",0.732,0.568,0.612,0.843,homogeneous,-0.020738095238095212,,0.0666607142857143
D_claude_claude_T4_rep05,D,claude_claude,claude,claude,T4,5,0.5798,0.081,-0.4299,-0.6362,1.4799,0.247,0.75,1.0,0.0,0.021429,0.02619,0.303,0.289,0.0,0.0625,"[0.91, 0.837, 0.928, 0.999, 0.848, 0.859, 0.888, 0.919]","[0.5774, 0.9237, 1.0703, 0.8367, 0.9258, 0.9885, 1.1519, 0.9885]",0.661,0.818,0.751,0.899,homogeneous,-0.0004761904761904622,,0.04598095238095241
D_claude_gpt4o_T4_rep01,D,claude_gpt4o,claude,gpt4o,T4,1,0.464,0.14,-0.4095,-0.7448,1.8188,1.0446,0.75,0.6667,0.5,-0.00119,0.020238,0.3397,0.2144,0.0,0.0,"[0.931, 0.675, 0.538, 0.845, 0.959, 0.711, 0.625, 0.836]","[1.6298, 1.0703, 0.7937, 1.222, 1.0054, 1.0173, 1.0703, 1.3284]",0.833,0.897,0.902,1.061,heterogeneous,-0.0033571428571428233,,-0.01970952380952365
D_claude_gpt4o_T4_rep02,D,claude_gpt4o,claude,gpt4o,T4,2,-0.2842,0.718,0.8824,-0.2315,-0.2624,3.341,0.75,0.3333,0.6667,0.004762,0.008333,0.2101,0.179,0.0,0.0,"[0.913, 0.588, 0.87, 0.922, 0.781, 0.657, 0.956, 0.96]","[1.6298, 0.7719, 1.0703, 1.0054, 1.0991, 1.0703, 1.4886, 1.4102]",0.836,0.91,0.923,0.95,heterogeneous,0.0165357142857143,,0.025476190476190493
D_claude_gpt4o_T4_rep03,D,claude_gpt4o,claude,gpt4o,T4,3,-0.1579,0.624,-0.202,0.6512,-0.3102,1.2094,0.75,0.6667,0.8333,-0.007143,0.014286,0.2727,0.167,0.0,0.0,"[0.811, 0.974, 0.448, 0.787, 0.526, 0.484, 0.797, 0.736]","[1.3411, 0.7713, 0.9885, 1.1402, 1.0701, 0.9885, 1.0703, 0.9885]",0.755,0.746,0.944,1.01,heterogeneous,-0.01860714285714276,,-0.01242023809523797
D_claude_gpt4o_T4_rep04,D,claude_gpt4o,claude,gpt4o,T4,4,-0.0823,0.553,-0.3088,0.0136,-22.7059,2.8038,0.5,0.3333,0.5,0.035714,0.011905,0.2782,0.2935,0.0,0.0,"[0.901, 0.582, 0.951, 0.757, 0.729, 0.915, 0.927, 0.735]","[1.4434, 1.0054, 1.4102, 1.0703, 0.9237, 1.3417, 1.0054, 1.3607]",0.949,0.988,0.85,0.723,heterogeneous,0.005083333333333353,,-0.011083333333333249
D_claude_gpt4o_T4_rep05,D,claude_gpt4o,claude,gpt4o,T4,5,0.0892,0.412,0.1587,-0.4537,-2.8589,1.3673,0.75,0.5,0.5,0.022619,0.020238,0.2732,0.2669,0.0,0.0,"[0.742, 0.721, 0.495, 0.668, 0.989, 0.699, 0.682, 0.775]","[0.866, 1.0703, 0.9237, 1.3038, 1.4425, 1.3284, 0.9885, 0.9885]",0.598,0.814,0.856,1.039,heterogeneous,0.011535714285714302,,0.021444047619047703
D_gpt4o_claude_T4_rep01,D,gpt4o_claude,gpt4o,claude,T4,1,-0.2819,0.732,-0.1006,-0.4133,4.1083,0.7727,0.75,0.5,0.0,0.008333,-0.014286,0.3014,0.2868,0.0,0.0,"[0.893, 0.755, 0.779, 0.853, 0.934, 0.892, 0.845, 0.737]","[1.4434, 1.3935, 1.0054, 1.0054, 1.0054, 1.0054, 1.0703, 0.9885]",0.861,1.007,0.754,0.744,heterogeneous,-0.0026428571428570896,,-0.057146428571428494
D_gpt4o_claude_T4_rep02,D,gpt4o_claude,gpt4o,claude,T4,2,0.4395,0.17,-0.4807,-0.6355,1.322,0.5897,0.75,0.8333,0.1667,0.003571,-0.038095,0.2318,0.3386,0.0,0.0,"[0.98, 0.923, 0.713, 0.607, 0.767, 0.696, 0.816, 0.909]","[1.366, 1.4102, 1.222, 0.8755, 0.7937, 1.0054, 1.0703, 1.0703]",0.826,0.84,0.806,0.749,heterogeneous,-0.010988095238095187,,-0.05358333333333331
D_gpt4o_claude_T4_rep03,D,gpt4o_claude,gpt4o,claude,T4,3,-0.5707,0.914,0.2162,0.0467,0.216,1.7253,0.75,0.6667,0.6667,0.008333,-0.007143,0.3134,0.307,0.0,0.0,"[0.549, 0.958, 0.739, 0.846, 0.934, 0.962, 0.837, 0.999]","[0.5, 1.1178, 1.2643, 1.0054, 1.0054, 1.3038, 1.1402, 1.222]",1.075,0.927,0.624,0.928,heterogeneous,0.03930952380952381,,0.06291071428571433
D_gpt4o_claude_T4_rep04,D,gpt4o_claude,gpt4o,claude,T4,4,-0.0786,0.57,-0.4253,-0.0198,21.4798,0.6406,1.0,0.5,0.5,0.005952,-0.021429,0.1886,0.2357,0.0,0.125,"[0.952, 0.697, 0.56, 0.991, 0.684, 0.525, 0.713, 0.738]","[1.5275, 1.3607, 0.8755, 0.8862, 1.0054, 0.8944, 1.0307, 0.8755]",0.923,0.874,0.875,0.612,heterogeneous,-0.021785714285714262,,-0.07188214285714284
D_gpt4o_claude_T4_rep05,D,gpt4o_claude,gpt4o,claude,T4,5,-0.6163,0.915,0.446,0.3585,0.8038,0.9094,1.0,0.6667,0.6667,0.013095,-0.028571,0.1851,0.2341,0.0,0.0,"[0.765, 1.0, 0.91, 0.829, 0.45, 0.725, 0.588, 0.731]","[1.1547, 1.3038, 1.0701, 1.0307, 0.9237, 0.9885, 0.7937, 0.7937]",0.981,1.022,0.746,0.753,heterogeneous,-0.03847619047619047,,-0.06463452380952374
D_gpt4o_gpt4o_T4_rep01,D,gpt4o_gpt4o,gpt4o,gpt4o,T4,1,-0.6642,0.943,0.2968,0.7336,0.4046,2.6131,1.0,0.5,1.0,0.008333,0.008333,0.2411,0.244,0.0,0.0,"[0.924, 0.639, 0.903, 0.698, 0.914, 0.784, 0.686, 0.972]","[1.6298, 1.0701, 0.9237, 0.9885, 1.0703, 1.1402, 1.222, 1.1402]",0.899,1.001,0.823,1.029,homogeneous,0.005119047619047649,,-0.02305238095238087
D_gpt4o_gpt4o_T4_rep02,D,gpt4o_gpt4o,gpt4o,gpt4o,T4,2,-0.2029,0.727,-0.6346,0.3953,-1.6054,0.5717,0.5,0.6667,0.5,0.0,0.008333,0.1663,0.2261,0.0,0.0,"[0.844, 0.957, 0.836, 0.913, 0.866, 0.982, 0.977, 0.752]","[1.5275, 1.0991, 1.222, 1.222, 1.222, 1.0703, 1.222, 1.1402]",1.026,0.963,0.87,0.715,homogeneous,-0.0018214285714284596,,-0.0303773809523808
D_gpt4o_gpt4o_T4_rep03,D,gpt4o_gpt4o,gpt4o,gpt4o,T4,3,0.328,0.219,0.1998,-0.2301,-1.1517,1.8323,1.0,0.6667,0.5,0.007143,0.008333,0.1725,0.356,0.0,0.0,"[0.973, 0.777, 0.962, 0.871, 0.832, 0.805, 0.796, 0.859]","[1.6298, 1.2643, 1.3038, 1.222, 1.1825, 1.222, 1.1402, 1.1402]",0.877,0.872,0.85,1.013,homogeneous,-0.014440476190476123,,-0.05157857142857132
D_gpt4o_gpt4o_T4_rep04,D,gpt4o_gpt4o,gpt4o,gpt4o,T4,4,-0.915,0.986,0.8909,0.4749,0.5331,1.8663,1.0,0.6667,0.5,0.016667,0.008333,0.1537,0.2646,0.0,0.0,"[0.85, 0.629, 0.918, 0.974, 0.98, 0.987, 0.957, 0.997]","[1.5275, 1.222, 1.1402, 1.1402, 1.1402, 1.1402, 1.1402, 1.2409]",0.875,1.037,1.025,1.034,homogeneous,0.034309523809523824,,-0.028752380952380873
D_gpt4o_gpt4o_T4_rep05,D,gpt4o_gpt4o,gpt4o,gpt4o,T4,5,0.3389,0.244,-0.4732,-0.184,2.5717,1.1193,1.0,0.3333,0.5,-0.027381,0.014286,0.1879,0.1918,0.0,0.0,"[0.988, 1.0, 0.831, 0.984, 0.782, 0.733, 0.708, 0.723]","[1.5275, 1.3038, 1.222, 1.4102, 1.4102, 1.222, 1.3038, 1.222]",0.88,0.754,0.868,1.031,homogeneous,-0.04536904761904758,,-0.025458333333333343
E_claude_claude_T4_rep01,E,claude_claude,claude,claude,T4,1,0.5259,0.098,-0.6535,0.1957,-3.3393,1.0049,0.75,0.5,0.5,-0.005952,0.002381,0.3106,0.3048,0.0,0.0,"[0.996, 0.976, 0.728, 0.921, 0.951, 0.832, 0.972, 0.969]","[1.366, 1.0054, 0.9258, 0.642, 0.642, 0.8367, 0.7719, 0.9237]",0.819,0.754,0.815,0.723,homogeneous,0.0015833333333333806,,-0.053939285714285704
E_claude_claude_T4_rep02,E,claude_claude,claude,claude,T4,2,0.221,0.318,-0.2497,0.0958,-2.6065,0.661,0.75,0.8333,0.5,-0.008333,-0.010714,0.3086,0.2122,0.0,0.0,"[0.928, 0.802, 0.952, 0.936, 0.966, 0.752, 0.918, 0.794]","[1.366, 0.5771, 0.642, 0.9809, 0.6708, 0.7071, 0.8007, 0.8367]",0.834,0.701,0.762,0.495,homogeneous,-0.011047619047619023,,-0.03216547619047614
E_claude_claude_T4_rep03,E,claude_claude,claude,claude,T4,3,0.9252,0.001,0.054,-0.319,-5.9074,1.0999,1.0,0.3333,0.5,0.003571,-0.003571,0.2978,0.2577,0.0,0.0,"[0.918, 0.972, 0.996, 0.91, 0.984, 0.997, 0.992, 0.965]","[1.4434, 0.7071, 0.7719, 0.8007, 0.7719, 0.7719, 1.0703, 0.8536]",0.829,0.809,0.747,0.774,homogeneous,0.006023809523809599,,-0.027873809523809412
E_claude_claude_T4_rep04,E,claude_claude,claude,claude,T4,4,0.8045,0.0,-0.8073,-0.6522,1.2378,0.2714,0.75,1.0,0.0,0.00119,-0.005952,0.1544,0.2314,0.0,0.0,"[0.916, 0.889, 0.959, 0.718, 0.948, 0.656, 0.881, 0.629]","[0.866, 0.7719, 0.7719, 0.7071, 0.7719, 0.8656, 1.1254, 0.9885]",0.666,0.838,0.75,0.467,homogeneous,-0.032476190476190395,,0.03536785714285716
E_claude_claude_T4_rep05,E,claude_claude,claude,claude,T4,5,0.6068,0.07,-0.5747,-0.0591,9.7242,0.7455,1.0,0.5,0.5,0.010714,-0.014286,0.2156,0.2954,0.0,0.0,"[0.978, 0.937, 0.966, 0.928, 0.548, 0.801, 0.939, 0.889]","[1.0774, 0.6708, 0.7719, 0.7236, 1.0173, 0.9885, 0.8367, 0.9237]",0.769,0.901,0.747,0.79,homogeneous,-0.017714285714285627,,0.008298809523809562
E_claude_gpt4o_T4_rep01,E,claude_gpt4o,claude,gpt4o,T4,1,0.6548,0.059,-0.3252,-0.5994,1.8432,0.6961,1.0,0.3333,0.5,-0.016667,0.015476,0.2214,0.183,0.0,0.0,"[0.779, 0.678, 0.908, 0.926, 0.897, 0.989, 0.825, 0.908]","[1.3411, 1.0703, 1.0054, 0.7719, 1.1766, 1.0991, 1.1119, 1.2055]",0.729,0.66,0.95,0.568,heterogeneous,0.0220476190476191,,-0.0006595238095237093
E_claude_gpt4o_T4_rep02,E,claude_gpt4o,claude,gpt4o,T4,2,0.1558,0.427,0.0956,-0.1043,-1.091,0.4269,0.75,0.6667,0.3333,0.009524,0.003571,0.2028,0.2996,0.0,0.0,"[0.999, 0.856, 0.778, 0.772, 0.838, 0.855, 0.961, 0.762]","[1.7321, 0.8862, 0.6708, 1.222, 1.0054, 0.9258, 0.7937, 1.222]",0.841,0.795,0.842,0.557,heterogeneous,-0.009964285714285665,,-0.04148571428571425
E_claude_gpt4o_T4_rep03,E,claude_gpt4o,claude,gpt4o,T4,3,0.7154,0.036,0.2592,0.0586,0.2261,1.7691,0.75,0.5,0.6667,-0.00119,0.019048,0.2191,0.1839,0.0,0.0,"[0.877, 0.738, 0.938, 0.867, 0.986, 0.952, 0.966, 0.744]","[1.3411, 1.0054, 1.0054, 1.0054, 0.9183, 1.222, 0.7719, 1.16]",0.732,0.467,0.855,0.723,heterogeneous,0.004404761904761949,,-0.022291666666666578
E_claude_gpt4o_T4_rep04,E,claude_gpt4o,claude,gpt4o,T4,4,0.051,0.423,0.4914,-0.4521,-0.92,0.8335,0.75,1.0,0.3333,0.0,-0.003571,0.2775,0.2345,0.0,0.0,"[0.926, 0.977, 0.889, 0.928, 0.997, 0.666, 0.94, 0.991]","[1.6298, 0.8755, 1.222, 0.8536, 1.1888, 1.1825, 1.2643, 0.6922]",0.834,0.776,0.908,0.767,heterogeneous,-0.003928571428571406,,-0.05241071428571416
E_claude_gpt4o_T4_rep05,E,claude_gpt4o,claude,gpt4o,T4,5,0.598,0.086,-0.8593,-0.7281,1.1802,2.7735,0.75,0.0,0.8333,-0.002381,0.003571,0.2522,0.1376,0.0,0.0,"[0.88, 0.978, 0.748, 0.836, 0.789, 0.885, 0.922, 0.807]","[1.4434, 0.6708, 0.7236, 0.721, 0.9885, 1.2089, 1.0307, 1.222]",0.855,0.964,0.735,0.771,heterogeneous,-0.005083333333333269,,0.0234892857142858
E_gpt4o_claude_T4_rep01,E,gpt4o_claude,gpt4o,claude,T4,1,-0.317,0.77,-0.5173,0.3924,-1.3183,0.8065,0.75,0.3333,0.6667,0.009524,-0.004762,0.2954,0.2606,0.0,0.0,"[0.878, 0.492, 0.993, 0.871, 0.866, 0.917, 0.869, 0.838]","[1.3411, 0.9885, 1.0595, 1.1254, 1.0703, 1.359, 1.0054, 1.0991]",0.864,0.872,0.742,0.71,heterogeneous,0.016333333333333342,,-0.009120238095238091
E_gpt4o_claude_T4_rep02,E,gpt4o_claude,gpt4o,claude,T4,2,0.1975,0.396,0.3089,-0.3932,-1.2729,0.4955,0.75,0.6667,0.3333,0.008333,-0.017857,0.2139,0.1739,0.0,0.0,"[0.88, 0.57, 0.871, 0.906, 0.997, 0.659, 0.571, 0.842]","[0.866, 0.9237, 0.8536, 1.3038, 0.8656, 1.0703, 0.8656, 0.9183]",0.875,0.913,0.755,0.755,heterogeneous,-0.009595238095238075,,0.003422619047619087
E_gpt4o_claude_T4_rep03,E,gpt4o_claude,gpt4o,claude,T4,3,0.3503,0.234,0.134,-0.6021,-4.4933,0.4149,1.0,0.6667,0.1667,0.008333,-0.013095,0.2376,0.254,0.0,0.0,"[0.977, 0.73, 0.813, 0.88, 0.99, 0.828, 0.753, 0.915]","[1.5275, 1.0054, 1.0703, 0.8367, 0.9885, 0.8536, 0.9237, 0.8755]",0.863,0.715,0.886,0.8,heterogeneous,-0.0019523809523808748,,-0.06512857142857134
E_gpt4o_claude_T4_rep04,E,gpt4o_claude,gpt4o,claude,T4,4,0.4322,0.163,-0.6166,0.2585,-2.3853,1.6452,1.0,0.3333,0.6667,0.005952,-0.008333,0.316,0.3164,0.0,0.0,"[0.973, 0.963, 0.882, 0.657, 0.938, 0.83, 0.953, 0.887]","[1.6298, 0.8755, 0.9258, 1.0054, 0.7071, 0.9885, 1.0991, 1.248]",0.886,0.667,0.859,0.78,heterogeneous,-0.006273809523809468,,-0.019819047619047517
E_gpt4o_claude_T4_rep05,E,gpt4o_claude,gpt4o,claude,T4,5,0.104,0.432,-0.4955,0.5617,-0.8821,0.7821,0.75,0.6667,0.5,-0.015476,-0.011905,0.2551,0.2579,0.0,0.0,"[0.86, 0.973, 0.898, 0.887, 0.893, 0.799, 0.989, 0.915]","[1.3411, 0.8755, 0.721, 0.8359, 1.0054, 0.9659, 1.0054, 1.0703]",0.893,0.819,0.753,0.734,heterogeneous,0.0020714285714286008,,-0.0040702380952380105
E_gpt4o_gpt4o_T4_rep01,E,gpt4o_gpt4o,gpt4o,gpt4o,T4,1,0.8267,0.014,-0.7813,-0.3463,2.2561,0.5888,1.0,0.6667,0.5,0.014286,0.00119,0.225,0.2052,0.0,0.0,"[0.999, 0.925, 0.941, 0.959, 0.912, 0.971, 0.909, 0.863]","[1.5275, 1.2643, 1.0, 1.0703, 1.3038, 0.9183, 1.3038, 1.1519]",0.88,0.895,0.879,0.758,homogeneous,-0.011773809523809476,,-0.02908690476190463
E_gpt4o_gpt4o_T4_rep02,E,gpt4o_gpt4o,gpt4o,gpt4o,T4,2,-0.5148,0.896,0.5976,0.4126,0.6904,0.7633,1.0,0.6667,0.6667,0.011905,0.019048,0.2592,0.2486,0.0,0.0,"[0.919, 0.812, 0.638, 0.97, 0.81, 0.764, 0.845, 0.917]","[1.6298, 1.0991, 1.4886, 1.0701, 1.4425, 1.0991, 1.2643, 0.9258]",0.931,0.905,0.85,0.822,homogeneous,0.004392857142857187,,-0.058310714285714244
E_gpt4o_gpt4o_T4_rep03,E,gpt4o_gpt4o,gpt4o,gpt4o,T4,3,0.2285,0.346,0.4743,0.2115,0.4459,0.7406,1.0,0.6667,0.5,0.008333,-0.009524,0.2851,0.2005,0.0,0.0,"[0.945, 0.767, 0.958, 0.845, 0.825, 0.856, 0.963, 0.854]","[1.6298, 1.1519, 1.1178, 1.3038, 1.0991, 1.0991, 1.2643, 0.9258]",0.829,0.885,0.884,0.739,homogeneous,0.00020238095238099538,,-0.05508095238095222
E_gpt4o_gpt4o_T4_rep04,E,gpt4o_gpt4o,gpt4o,gpt4o,T4,4,-0.2687,0.655,0.5886,0.0512,0.087,1.1757,1.0,0.6667,0.6667,0.014286,0.010714,0.2931,0.1235,0.0,0.0,"[0.973, 0.958, 0.965, 0.951, 0.987, 0.997, 0.892, 0.86]","[1.7321, 1.0991, 0.9472, 1.1519, 1.3038, 1.3038, 1.2643, 1.3038]",0.842,0.883,0.815,0.743,homogeneous,-0.011773809523809466,,-0.011314285714285614
E_gpt4o_gpt4o_T4_rep05,E,gpt4o_gpt4o,gpt4o,gpt4o,T4,5,0.5132,0.116,0.2057,-0.2572,-1.2504,0.8852,1.0,0.6667,0.5,0.00119,0.02381,0.282,0.1263,0.0,0.0,"[0.873, 0.988, 0.832, 0.935, 0.966, 0.994, 0.847, 0.84]","[1.6298, 1.3227, 1.1996, 0.9885, 1.2643, 1.3038, 1.222, 1.3038]",0.956,0.723,0.829,0.883,homogeneous,-0.004988095238095201,,-0.02615595238095227
