dialogue_id,condition,pairing,model_a,model_b,topic,repetition,timestamp,num_turns,episode_number,coupling_lag0,coupling_lag0_p_perm,coupling_lag1_a_to_b,coupling_lag1_b_to_a,bidirectional_index,gamma3_slope_a,gamma3_slope_b,asymmetry_index,transfer_proxy_a_to_b,transfer_proxy_b_to_a,position_convergence,mean_hedge_density_a,mean_hedge_density_b,mean_sycophancy_a,mean_sycophancy_b,sync_initial,sync_final,gamma_norm_a_initial,gamma_norm_a_final,gamma_norm_b_initial,gamma_norm_b_final
A_claude_claude_T4_rep01,A,claude_claude,claude,claude,T4,1,2026-02-11T01:13:27.519883,8,1,-0.0726,0.565,0.0875,0.0825,0.9429,0.020238,-0.009524,1.0945,0.6667,0.1667,1.0,0.3312,0.3234,0.0,0.0,0.924,0.744,0.753,0.937,0.829,0.681
A_claude_claude_T4_rep02,A,claude_claude,claude,claude,T4,2,2026-02-11T01:24:08.297366,8,1,0.7831,0.028,-0.6952,-0.7459,1.0729,-0.004762,-0.004762,1.5055,0.0,0.6667,1.0,0.288,0.2374,0.0,0.0,0.87,0.809,0.875,0.72,0.745,0.529
A_claude_claude_T4_rep03,A,claude_claude,claude,claude,T4,3,2026-02-11T00:00:18.294668,8,1,0.5791,0.091,-0.8083,0.005,-161.66,-0.002381,-0.015476,0.9249,0.5,0.6667,1.0,0.3468,0.4229,0.0,0.0,0.996,0.808,0.75,0.687,0.754,0.495
A_claude_claude_T4_rep04,A,claude_claude,claude,claude,T4,4,2026-02-11T00:17:50.989512,8,1,0.1099,0.413,0.1603,-0.4982,-3.1079,-0.004762,0.010714,1.1318,0.5,0.5,1.0,0.1978,0.196,0.0,0.0,0.99,0.791,0.747,0.568,0.737,0.777
A_claude_claude_T4_rep05,A,claude_claude,claude,claude,T4,5,2026-02-11T00:28:14.594586,8,1,0.3448,0.233,-0.2451,-0.3375,1.377,-0.002381,0.0,0.309,0.8333,0.1667,1.0,0.4223,0.3639,0.0,0.0,0.917,0.969,0.742,0.612,0.825,0.643
A_claude_gpt4o_T4_rep01,A,claude_gpt4o,claude,gpt4o,T4,1,2026-02-11T01:34:34.634578,8,1,0.5499,0.102,-0.8448,-0.4837,1.7465,-0.015476,-0.017857,3.3064,0.1667,0.8333,1.0,0.2856,0.2662,0.0,0.0,0.83,0.978,0.739,0.745,0.909,0.767
A_claude_gpt4o_T4_rep02,A,claude_gpt4o,claude,gpt4o,T4,2,2026-02-11T00:38:47.151068,8,1,0.7044,0.048,-0.9565,-0.0946,10.111,-0.00119,0.020238,1.459,0.1667,0.5,0.25,0.3746,0.229,0.0,0.0,0.8,0.78,0.634,0.495,0.834,0.715
A_claude_gpt4o_T4_rep03,A,claude_gpt4o,claude,gpt4o,T4,3,2026-02-10T23:41:16.199896,8,1,0.1177,0.395,-0.5946,0.2335,-2.5465,0.029762,0.005952,2.3017,0.1667,1.0,1.0,0.2631,0.23,0.0,0.0,0.801,0.994,0.637,0.808,0.836,0.802
A_claude_gpt4o_T4_rep04,A,claude_gpt4o,claude,gpt4o,T4,4,2026-02-10T22:39:05.232316,8,1,0.5145,0.077,0.5007,-0.7516,-1.5011,-0.009524,0.008333,1.6567,0.6667,0.5,0.75,0.3262,0.295,0.0,0.0,1.0,0.615,0.83,0.495,0.83,0.88
A_claude_gpt4o_T4_rep05,A,claude_gpt4o,claude,gpt4o,T4,5,2026-02-10T23:32:27.617802,8,1,-0.27,0.681,0.3131,0.2698,0.8617,-0.015476,0.007143,2.4072,0.1667,0.8333,0.75,0.3761,0.2744,0.0625,0.0,0.863,0.75,0.762,0.568,0.899,0.818
A_gpt4o_claude_T4_rep01,A,gpt4o_claude,gpt4o,claude,T4,1,2026-02-11T20:27:43.910504,8,1,0.4288,0.151,0.2921,-0.7979,-2.7316,0.003571,0.0,1.0248,0.6667,0.5,0.5,0.1926,0.4064,0.0,0.0625,0.962,0.902,0.878,0.889,0.84,0.791
A_gpt4o_claude_T4_rep02,A,gpt4o_claude,gpt4o,claude,T4,2,2026-02-11T20:54:49.772390,8,1,-0.0805,0.576,0.0922,0.2691,0.3426,0.009524,0.003571,1.08,0.5,0.6667,0.75,0.2087,0.3134,0.0,0.0,0.843,0.598,0.909,1.045,0.752,0.643
A_gpt4o_claude_T4_rep03,A,gpt4o_claude,gpt4o,claude,T4,3,2026-02-11T20:48:14.947423,8,1,0.0851,0.42,-0.5806,0.5178,-1.1213,0.008333,-0.015476,0.7132,0.6667,0.5,1.0,0.2993,0.3701,0.0,0.0,0.863,0.643,0.884,0.715,0.747,0.358
A_gpt4o_claude_T4_rep04,A,gpt4o_claude,gpt4o,claude,T4,4,2026-02-11T20:41:01.696712,8,1,-0.648,0.937,-0.3647,0.3461,-1.0537,0.009524,-0.004762,0.3891,0.5,0.3333,0.25,0.2675,0.2606,0.0,0.0,0.834,0.872,0.72,0.715,0.886,0.843
A_gpt4o_claude_T4_rep05,A,gpt4o_claude,gpt4o,claude,T4,5,2026-02-11T20:34:32.323810,8,1,-0.3898,0.834,0.4128,-0.0684,-0.1657,0.014286,-0.013095,0.5118,0.8333,0.1667,0.5,0.1537,0.2451,0.0,0.0625,0.916,0.674,0.818,0.894,0.734,0.568
A_gpt4o_gpt4o_T4_rep01,A,gpt4o_gpt4o,gpt4o,gpt4o,T4,1,2026-02-10T23:52:18.740761,8,1,-0.5843,0.909,0.6256,0.2921,0.4669,0.008333,0.004762,1.1007,0.8333,0.6667,1.0,0.3049,0.2341,0.0,0.0,0.96,0.702,0.879,0.715,0.839,1.013
A_gpt4o_gpt4o_T4_rep02,A,gpt4o_gpt4o,gpt4o,gpt4o,T4,2,2026-02-10T23:24:26.314697,8,1,0.3005,0.269,-0.1982,0.4243,-0.4671,0.008333,0.007143,0.4482,0.8333,0.3333,1.0,0.2701,0.283,0.0,0.0,0.985,0.836,0.852,1.04,0.837,0.876
A_gpt4o_gpt4o_T4_rep03,A,gpt4o_gpt4o,gpt4o,gpt4o,T4,3,2026-02-10T23:14:35.882668,8,1,0.5343,0.099,0.1662,-0.3562,-2.1432,0.008333,0.020238,0.3915,0.6667,0.5,1.0,0.2005,0.2057,0.0,0.0,0.938,0.762,0.828,1.021,0.89,0.783
A_gpt4o_gpt4o_T4_rep04,A,gpt4o_gpt4o,gpt4o,gpt4o,T4,4,2026-02-10T22:15:06.479086,8,1,0.5693,0.102,-0.4185,-0.3215,1.3017,0.008333,0.004762,1.0992,0.3333,0.6667,0.5,0.2056,0.2406,0.0,0.0,0.911,0.979,0.845,0.89,0.934,0.869
A_gpt4o_gpt4o_T4_rep05,A,gpt4o_gpt4o,gpt4o,gpt4o,T4,5,2026-02-11T00:10:37.002535,8,1,-0.2483,0.703,-0.5288,0.6368,-0.8304,-0.007143,0.008333,0.7762,0.3333,0.6667,0.75,0.2362,0.1604,0.0,0.0,0.763,0.952,0.824,0.914,1.061,0.866
B_claude_claude_T4_rep01,B,claude_claude,claude,claude,T4,1,2026-02-12T01:17:02.476344,8,1,0.1678,0.344,0.1521,0.2829,0.5376,0.00119,-0.042262,0.6285,0.8333,0.3333,0.75,0.3344,0.3255,0.0,0.0625,0.92,0.807,0.817,0.725,0.737,0.532
B_claude_claude_T4_rep02,B,claude_claude,claude,claude,T4,2,2026-02-11T21:17:08.913774,8,1,0.3064,0.222,0.119,0.0193,0.1622,0.003571,-0.052976,0.6862,0.6667,0.1667,0.75,0.1713,0.2203,0.0,0.0625,0.992,0.837,0.734,0.723,0.742,0.56
B_claude_claude_T4_rep03,B,claude_claude,claude,claude,T4,3,2026-02-12T00:01:25.647712,8,1,-0.0026,0.466,0.8163,-0.6789,-0.8317,0.008333,-0.014286,1.232,0.6667,0.6667,1.0,0.2003,0.2814,0.0,0.1875,0.989,0.94,0.726,0.557,0.737,0.617
B_claude_claude_T4_rep04,B,claude_claude,claude,claude,T4,4,2026-02-11T15:25:00.352724,8,1,0.564,0.133,-0.451,0.4608,-0.9787,0.0,-0.031548,0.8177,0.6667,0.5,1.0,0.2983,0.3438,0.0,0.0,0.968,0.842,0.787,0.727,0.755,0.569
B_claude_claude_T4_rep05,B,claude_claude,claude,claude,T4,5,2026-02-11T10:45:59.839800,8,1,0.367,0.201,-0.074,-0.2697,3.6446,-0.022619,-0.005952,1.0596,0.6667,0.5,0.75,0.2687,0.3718,0.0,0.25,0.941,0.719,0.793,0.791,0.852,0.51
B_claude_gpt4o_T4_rep01,B,claude_gpt4o,claude,gpt4o,T4,1,2026-02-11T21:37:02.301463,8,1,0.4571,0.181,-0.1351,-0.6924,5.1251,-0.004762,0.026786,0.7773,0.6667,0.5,1.0,0.2462,0.1975,0.0,0.0,0.833,0.712,0.655,0.568,0.822,0.856
B_claude_gpt4o_T4_rep02,B,claude_gpt4o,claude,gpt4o,T4,2,2026-02-11T15:14:46.972844,8,1,0.7472,0.032,-0.578,-0.8915,1.5424,0.019048,-0.007143,0.7073,0.5,0.3333,0.25,0.3112,0.1797,0.0,0.0,0.878,0.984,0.848,0.723,0.97,0.739
B_claude_gpt4o_T4_rep03,B,claude_gpt4o,claude,gpt4o,T4,3,2026-02-11T23:33:40.289601,8,1,0.8785,0.004,-0.3374,-0.9126,2.7048,-0.011905,0.013095,1.2045,0.5,0.5,0.25,0.2978,0.2052,0.0625,0.0,0.993,0.729,0.83,0.568,0.823,0.839
B_claude_gpt4o_T4_rep04,B,claude_gpt4o,claude,gpt4o,T4,4,2026-02-12T00:48:32.983918,8,1,-0.0859,0.566,0.1428,-0.5515,-3.862,0.009524,0.018452,0.8774,0.5,0.5,0.5,0.3024,0.269,0.0,0.0625,0.752,0.877,0.591,0.832,0.839,0.709
B_claude_gpt4o_T4_rep05,B,claude_gpt4o,claude,gpt4o,T4,5,2026-02-11T23:22:54.398677,8,1,-0.3787,0.811,0.2399,0.1137,0.4739,-0.00119,0.02619,0.7008,0.6667,0.6667,1.0,0.189,0.1636,0.0,0.0,0.961,0.348,0.745,0.568,0.784,1.22
B_gpt4o_claude_T4_rep01,B,gpt4o_claude,gpt4o,claude,T4,1,2026-02-11T21:24:20.547422,8,1,0.8091,0.019,-0.8898,-0.246,3.6171,0.011905,-0.003571,0.5712,0.6667,0.3333,0.75,0.212,0.2651,0.0,0.0625,0.823,0.648,0.748,1.03,0.571,0.678
B_gpt4o_claude_T4_rep02,B,gpt4o_claude,gpt4o,claude,T4,2,2026-02-12T00:13:56.765729,8,1,0.0204,0.468,0.2878,-0.7194,-2.4997,0.014286,-0.027381,1.2706,0.3333,0.5,0.75,0.2667,0.2797,0.0,0.0,0.896,0.836,0.844,0.873,0.74,0.709
B_gpt4o_claude_T4_rep03,B,gpt4o_claude,gpt4o,claude,T4,3,2026-02-11T23:04:47.046200,8,1,-0.4204,0.858,-0.2404,-0.2048,1.1738,0.0,-0.025595,1.197,0.3333,0.3333,1.0,0.1755,0.2496,0.0,0.0,0.992,0.742,0.819,0.98,0.827,0.722
B_gpt4o_claude_T4_rep04,B,gpt4o_claude,gpt4o,claude,T4,4,2026-02-11T23:51:33.913494,8,1,-0.3572,0.778,-0.0748,0.0281,-2.6619,0.008333,-0.042857,0.409,0.6667,0.3333,0.75,0.2548,0.3485,0.0,0.0,0.917,0.932,0.85,0.715,0.767,0.783
B_gpt4o_claude_T4_rep05,B,gpt4o_claude,gpt4o,claude,T4,5,2026-02-12T00:59:13.728200,8,1,0.1583,0.405,-0.2491,-0.2327,1.0705,0.007143,-0.047024,0.48,0.6667,0.3333,0.75,0.1534,0.2905,0.0,0.0,0.778,0.602,0.862,0.872,0.64,0.474
B_gpt4o_gpt4o_T4_rep01,B,gpt4o_gpt4o,gpt4o,gpt4o,T4,1,2026-02-11T23:57:07.268218,8,1,-0.1622,0.655,-0.0392,0.5948,-0.0659,0.008333,-0.020833,0.5194,0.6667,0.5,0.25,0.31,0.2216,0.0,0.0,0.943,0.849,0.83,0.892,0.773,0.741
B_gpt4o_gpt4o_T4_rep02,B,gpt4o_gpt4o,gpt4o,gpt4o,T4,2,2026-02-12T00:44:28.570421,8,1,0.0845,0.437,-0.5047,0.0817,-6.1775,0.010714,-0.042262,0.3371,0.5,0.5,1.0,0.3044,0.3036,0.0,0.0,0.983,0.991,0.845,0.945,0.862,0.936
B_gpt4o_gpt4o_T4_rep03,B,gpt4o_gpt4o,gpt4o,gpt4o,T4,3,2026-02-11T10:17:06.071176,8,1,0.9141,0.001,-0.2044,-0.3537,1.7304,0.007143,0.015476,0.8048,0.6667,0.3333,1.0,0.2139,0.212,0.0,0.0,0.907,0.879,0.928,0.715,0.835,0.594
B_gpt4o_gpt4o_T4_rep04,B,gpt4o_gpt4o,gpt4o,gpt4o,T4,4,2026-02-11T13:25:35.423047,8,1,-0.3284,0.789,0.0125,0.1328,0.0941,0.008333,-0.007738,0.5349,0.6667,0.5,1.0,0.1774,0.2186,0.0,0.0,0.819,0.477,1.065,1.014,0.884,0.491
B_gpt4o_gpt4o_T4_rep05,B,gpt4o_gpt4o,gpt4o,gpt4o,T4,5,2026-02-11T21:06:44.577302,8,1,-0.6135,0.921,0.5102,0.1489,0.2918,-0.004762,0.001786,1.0744,0.8333,0.5,0.5,0.2519,0.2345,0.0,0.0,0.899,0.834,0.847,0.762,0.948,0.928
C_claude_claude_T4_rep01,C,claude_claude,claude,claude,T4,1,2026-02-11T11:28:03.620972,8,1,0.2262,0.317,0.3356,-0.3644,-1.0858,-0.032143,-0.034524,0.915,0.6667,0.6667,0.75,0.4853,0.4224,0.0625,0.125,0.917,0.753,0.754,0.71,0.837,0.463
C_claude_claude_T4_rep02,C,claude_claude,claude,claude,T4,2,2026-02-11T11:48:37.668891,8,1,0.1108,0.406,0.0068,-0.1702,-25.0294,-0.02619,0.015476,0.6107,0.5,0.3333,0.75,0.3066,0.3997,0.0416,0.125,0.874,0.788,0.731,0.78,0.605,0.568
C_claude_claude_T4_rep03,C,claude_claude,claude,claude,T4,3,2026-02-12T00:37:24.527289,8,1,0.0821,0.391,-0.2631,-0.008,32.8875,-0.033333,-0.017857,0.7803,0.8333,0.5,0.75,0.4051,0.3656,0.2084,0.0625,0.913,0.996,0.824,0.427,0.737,0.431
C_claude_claude_T4_rep04,C,claude_claude,claude,claude,T4,4,2026-02-11T01:52:00.563896,8,1,0.2364,0.296,-0.5917,0.7264,-0.8146,-0.039286,-0.058333,1.1009,0.3333,0.8333,1.0,0.4209,0.4079,0.125,0.0625,0.993,0.906,0.736,0.738,0.729,0.644
C_claude_claude_T4_rep05,C,claude_claude,claude,claude,T4,5,2026-02-11T13:35:44.373392,8,1,0.5775,0.086,-0.0459,-0.3549,7.732,-0.044048,-0.024405,0.5635,1.0,0.3333,1.0,0.3369,0.3075,0.1459,0.0625,0.978,0.881,0.74,0.594,0.762,0.475
C_claude_gpt4o_T4_rep01,C,claude_gpt4o,claude,gpt4o,T4,1,2026-02-11T10:34:24.063035,8,1,0.2147,0.315,-0.334,-0.0771,4.332,-0.049405,-0.036905,0.9161,0.3333,0.6667,0.75,0.2781,0.15,0.0625,0.0625,0.761,0.797,0.739,0.7,0.978,0.903
C_claude_gpt4o_T4_rep02,C,claude_gpt4o,claude,gpt4o,T4,2,2026-02-11T22:24:18.148022,8,1,0.2588,0.304,0.9554,0.1288,0.1348,-0.02381,0.002976,0.6088,0.6667,0.3333,0.75,0.2601,0.19,0.0625,0.0,0.94,0.862,0.82,0.713,0.88,0.851
C_claude_gpt4o_T4_rep03,C,claude_gpt4o,claude,gpt4o,T4,3,2026-02-11T22:05:22.682358,8,1,-0.1935,0.699,0.8566,0.1058,0.1235,-0.029762,-0.00119,1.725,0.5,0.6667,1.0,0.293,0.2411,0.0,0.0,0.901,0.992,0.745,0.757,0.844,0.749
