trial_id,model,condition,topic,gamma1,gamma2,gamma3,gamma_norm_initial,gamma_norm_revised,delta_gamma,hedge_count_initial,hedge_count_revised,sycophancy_count_initial,position_depth_initial,position_depth_revised,self_ref_depth_initial,self_ref_depth_revised,revision_genuineness,persistence,hypothesis_diversity,structural_direction,op1_equilibrium,op2_attention,op3_modelling,op4_exit,op5_kenotic_loop,op6_resonance,op7_coherence,op8_teleology
trial_0,claude,C0,T1,0.557,0.375,0.25,0.336,0.213,-0.123,,,0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.336,0.0,4.0,0.213,4.0,0.0,0.0,4.0
trial_1,claude,C0,T1,0.548,0.125,0.25,0.383,0.253,-0.13,,,0,4.0,4.0,3.0,5.0,4.0,3.0,5.0,4.0,0.383,0.0,4.0,0.253,5.0,0.0,0.7071,4.0
trial_2,claude,C0,T1,0.543,0.375,0.55,0.343,0.36,0.017,,,0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,2.0,0.343,0.0,4.0,0.36,4.0,0.0,0.866,4.0
trial_3,claude,C0,T1,0.15,0.312,0.25,0.3,0.127,-0.173,,,0,4.0,5.0,4.0,5.0,4.0,4.0,4.0,4.0,0.3,0.0,4.0,0.127,5.0,0.0,0.433,4.0
trial_4,claude,C0,T1,0.15,0.312,0.4,0.477,0.25,-0.227,,,0,3.0,4.0,4.0,5.0,4.0,3.0,4.0,3.0,0.477,0.0,3.0,0.25,5.0,0.0,0.6614,4.0
trial_5,claude,C1,T1,0.709,0.625,0.7,0.383,0.35,-0.033,,,0,4.0,4.0,4.0,4.0,4.0,1.0,2.0,1.0,0.383,0.0,4.0,0.35,4.0,0.0,1.3229,4.0
trial_6,claude,C1,T1,0.15,0.625,0.55,0.4,0.35,-0.05,,,0,3.0,4.0,3.0,3.0,4.0,2.0,2.0,2.0,0.4,0.0,3.0,0.35,3.0,0.0,0.7806,4.0
trial_7,claude,C1,T1,0.1,0.688,0.4,0.444,0.25,-0.194,,,0,2.0,4.0,4.0,3.0,4.0,4.0,2.0,3.0,0.444,0.0,2.0,0.25,3.0,0.0,0.8292,4.0
trial_8,claude,C1,T1,0.533,0.562,0.55,0.32,0.383,0.063,,,0,4.0,4.0,4.0,3.0,4.0,2.0,3.0,2.0,0.32,0.0,4.0,0.383,3.0,0.0,0.8292,4.0
trial_9,claude,C1,T1,0.609,0.688,0.55,0.36,0.367,0.007,,,0,4.0,4.0,4.0,3.0,4.0,2.0,2.0,2.0,0.36,0.0,4.0,0.367,3.0,0.0,0.927,4.0
trial_10,claude,C2,T1,0.1,0.312,0.25,0.427,0.19,-0.237,,,0,2.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,0.427,0.0,2.0,0.19,5.0,0.0,0.7806,4.0
trial_11,claude,C2,T1,0.509,0.5,0.1,0.353,0.257,-0.096,,,0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,5.0,0.353,0.0,4.0,0.257,4.0,0.0,0.5,4.0
trial_12,claude,C2,T1,0.15,0.438,0.25,0.4,0.3,-0.1,,,0,3.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,0.4,0.0,3.0,0.3,4.0,0.0,0.4841,4.0
trial_13,claude,C2,T1,0.611,0.5,0.1,0.318,0.212,-0.106,,,0,4.0,4.0,4.0,4.0,4.0,5.0,3.0,5.0,0.318,0.0,4.0,0.212,4.0,0.0,0.5995,4.0
trial_14,claude,C2,T1,0.15,0.5,0.1,0.393,0.25,-0.143,,,0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,5.0,0.393,0.0,3.0,0.25,4.0,0.0,0.5995,4.0
trial_15,claude,C3,T1,0.15,0.625,0.25,0.372,0.29,-0.082,,,0,3.0,4.0,4.0,4.0,4.0,3.0,2.0,4.0,0.372,0.0,3.0,0.29,4.0,0.0,0.7071,4.0
trial_16,claude,C3,T1,0.15,0.625,0.25,0.412,0.2,-0.212,,,0,3.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,0.412,0.0,3.0,0.2,4.0,0.0,0.696,4.0
trial_17,claude,C3,T1,0.15,0.438,0.25,0.381,0.174,-0.207,,,0,3.0,4.0,4.0,5.0,4.0,4.0,3.0,4.0,0.381,0.0,3.0,0.174,5.0,0.0,0.5995,4.0
trial_18,claude,C3,T1,0.1,0.75,0.25,0.43,0.164,-0.266,,,0,3.0,5.0,4.0,4.0,4.0,4.0,1.0,4.0,0.43,0.0,3.0,0.164,4.0,0.0,1.111,4.0
trial_19,claude,C3,T1,0.15,0.625,0.25,0.393,0.264,-0.129,,,0,3.0,4.0,4.0,4.0,4.0,3.0,2.0,4.0,0.393,0.0,3.0,0.264,4.0,0.0,0.7071,4.0
trial_20,claude,C0,T2,0.15,0.188,0.1,0.462,0.168,-0.294,,,0,4.0,5.0,1.0,4.0,4.0,5.0,4.0,5.0,0.462,0.0,4.0,0.168,4.0,0.0,1.2247,4.0
trial_21,claude,C0,T2,0.15,0.188,0.1,0.461,0.293,-0.168,,,0,4.0,5.0,1.0,4.0,4.0,2.0,4.0,5.0,0.461,0.0,4.0,0.293,4.0,0.0,1.317,4.0
trial_22,claude,C0,T2,0.15,0.312,0.25,0.517,0.51,-0.007,,,0,4.0,5.0,1.0,2.0,4.0,1.0,4.0,4.0,0.517,0.0,4.0,0.51,2.0,0.0,1.4524,4.0
trial_23,claude,C0,T2,0.551,0.375,0.0,0.49,0.51,0.02,,,0,4.0,4.0,1.0,1.0,5.0,1.0,4.0,5.0,0.49,0.0,4.0,0.51,1.0,0.0,1.691,5.0
trial_24,claude,C0,T2,0.15,0.375,0.15,0.44,0.398,-0.042,,,0,4.0,5.0,2.0,2.0,5.0,1.0,4.0,4.0,0.44,0.0,4.0,0.398,2.0,0.0,1.4087,5.0
trial_25,claude,C1,T2,0.607,0.5,0.1,0.55,0.257,-0.293,,,0,4.0,4.0,1.0,3.0,4.0,5.0,2.0,5.0,0.55,0.0,4.0,0.257,3.0,0.0,1.3229,4.0
trial_26,claude,C1,T2,0.82,0.688,0.7,0.55,0.522,-0.028,,,0,4.0,4.0,2.0,1.0,4.0,1.0,2.0,1.0,0.55,0.0,4.0,0.522,1.0,0.0,1.317,4.0
trial_27,claude,C1,T2,0.528,0.312,0.7,0.475,0.386,-0.089,,,0,4.0,4.0,1.0,4.0,4.0,1.0,3.0,1.0,0.475,0.0,4.0,0.386,4.0,0.0,1.3919,4.0
trial_28,claude,C1,T2,0.567,0.688,0.7,0.517,0.49,-0.027,,,0,4.0,4.0,1.0,2.0,4.0,1.0,1.0,1.0,0.517,0.0,4.0,0.49,2.0,0.0,1.3919,4.0
trial_29,claude,C1,T2,0.56,0.625,0.7,0.462,0.536,0.074,,,0,4.0,4.0,1.0,1.0,4.0,1.0,2.0,1.0,0.462,0.0,4.0,0.536,1.0,0.0,1.3919,4.0
trial_30,claude,C2,T2,0.541,0.312,0.1,0.5,0.233,-0.267,,,0,4.0,4.0,1.0,4.0,4.0,4.0,3.0,5.0,0.5,0.0,4.0,0.233,4.0,0.0,1.111,4.0
trial_31,claude,C2,T2,0.514,0.438,0.7,0.48,0.486,0.006,,,0,4.0,4.0,2.0,3.0,4.0,1.0,3.0,1.0,0.48,0.0,4.0,0.486,3.0,0.0,1.199,4.0
trial_32,claude,C2,T2,0.517,0.25,0.25,0.468,0.375,-0.093,,,0,4.0,4.0,1.0,3.0,4.0,2.0,4.0,4.0,0.468,0.0,4.0,0.375,3.0,0.0,1.0897,4.0
trial_33,claude,C2,T2,0.525,0.375,0.1,0.44,0.35,-0.09,,,0,4.0,4.0,2.0,4.0,4.0,2.0,3.0,5.0,0.44,0.0,4.0,0.35,4.0,0.0,1.0,4.0
trial_34,claude,C2,T2,0.604,0.188,0.25,0.517,0.325,-0.192,,,0,4.0,4.0,1.0,4.0,4.0,2.0,4.0,4.0,0.517,0.0,4.0,0.325,4.0,0.0,1.111,4.0
trial_35,claude,C3,T2,0.525,0.188,0.25,0.49,0.3,-0.19,,,0,4.0,4.0,1.0,4.0,4.0,3.0,4.0,4.0,0.49,0.0,4.0,0.3,4.0,0.0,1.0,4.0
trial_36,claude,C3,T2,0.564,0.188,0.55,0.505,0.38,-0.125,,,0,4.0,4.0,1.0,4.0,4.0,2.0,4.0,2.0,0.505,0.0,4.0,0.38,4.0,0.0,1.1659,4.0
trial_37,claude,C3,T2,0.15,0.25,0.7,0.517,0.507,-0.01,,,0,4.0,3.0,1.0,3.0,4.0,1.0,4.0,1.0,0.517,0.0,4.0,0.507,3.0,0.0,1.317,4.0
trial_38,claude,C3,T2,0.643,0.188,0.55,0.55,0.343,-0.207,,,0,4.0,4.0,1.0,4.0,4.0,2.0,4.0,2.0,0.55,0.0,4.0,0.343,4.0,0.0,1.1659,4.0
trial_39,claude,C3,T2,0.524,0.312,0.25,0.507,0.267,-0.24,,,0,4.0,4.0,1.0,4.0,4.0,4.0,3.0,4.0,0.507,0.0,4.0,0.267,4.0,0.0,1.0,4.0
trial_40,claude,C0,T3,0.615,0.312,0.4,0.34,0.336,-0.004,,,0,4.0,4.0,4.0,5.0,4.0,2.0,4.0,3.0,0.34,0.0,4.0,0.336,5.0,0.0,0.8292,4.0
trial_41,claude,C0,T3,0.15,0.375,0.25,0.391,0.214,-0.177,,,0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,0.391,0.0,4.0,0.214,4.0,0.0,0.3307,4.0
trial_42,claude,C0,T3,0.603,0.375,0.25,0.408,0.317,-0.091,,,0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,0.408,0.0,4.0,0.317,4.0,0.0,0.3307,4.0
trial_43,claude,C0,T3,0.15,0.375,0.25,0.35,0.204,-0.146,,,0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,0.35,0.0,4.0,0.204,4.0,0.0,0.3307,4.0
trial_44,claude,C0,T3,0.15,0.375,0.25,0.35,0.262,-0.088,,,0,4.0,5.0,4.0,4.0,4.0,3.0,4.0,4.0,0.35,0.0,4.0,0.262,4.0,0.0,0.5,4.0
trial_45,claude,C1,T3,0.15,0.625,0.1,0.373,0.194,-0.179,,,0,4.0,5.0,4.0,4.0,4.0,4.0,2.0,5.0,0.373,0.0,4.0,0.194,4.0,0.0,0.866,4.0
trial_46,claude,C1,T3,0.15,0.75,0.25,0.34,0.15,-0.19,,,0,4.0,5.0,4.0,4.0,4.0,4.0,1.0,4.0,0.34,0.0,4.0,0.15,4.0,0.0,1.0897,4.0
trial_47,claude,C1,T3,0.654,0.75,0.1,0.392,0.181,-0.211,,,0,4.0,4.0,4.0,4.0,4.0,5.0,1.0,5.0,0.392,0.0,4.0,0.181,4.0,0.0,1.1659,4.0
trial_48,claude,C1,T3,0.621,0.75,0.1,0.377,0.229,-0.148,,,0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,5.0,0.377,0.0,4.0,0.229,4.0,0.0,1.0897,4.0
trial_49,claude,C1,T3,0.606,0.75,0.1,0.409,0.217,-0.192,,,0,4.0,4.0,4.0,4.0,4.0,5.0,1.0,5.0,0.409,0.0,4.0,0.217,4.0,0.0,1.1659,4.0
trial_50,claude,C2,T3,0.15,0.312,0.25,0.4,0.191,-0.209,,,0,4.0,5.0,4.0,5.0,4.0,4.0,4.0,4.0,0.4,0.0,4.0,0.191,5.0,0.0,0.433,4.0
trial_51,claude,C2,T3,0.553,0.312,0.25,0.333,0.205,-0.128,,,0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,0.333,0.0,4.0,0.205,5.0,0.0,0.3307,4.0
trial_52,claude,C2,T3,0.15,0.312,0.25,0.362,0.143,-0.219,,,0,4.0,5.0,4.0,5.0,4.0,4.0,4.0,4.0,0.362,0.0,4.0,0.143,5.0,0.0,0.433,4.0
trial_53,claude,C2,T3,0.532,0.312,0.55,0.346,0.233,-0.113,,,0,4.0,4.0,4.0,5.0,4.0,3.0,4.0,2.0,0.346,0.0,4.0,0.233,5.0,0.0,0.8292,4.0
trial_54,claude,C2,T3,0.573,0.438,0.25,0.391,0.27,-0.121,,,0,4.0,4.0,4.0,5.0,4.0,4.0,3.0,4.0,0.391,0.0,4.0,0.27,5.0,0.0,0.5,4.0
trial_55,claude,C3,T3,0.515,0.562,0.15,0.346,0.14,-0.206,,,0,4.0,4.0,4.0,5.0,5.0,4.0,2.0,4.0,0.346,0.0,4.0,0.14,5.0,0.0,0.866,5.0
trial_56,claude,C3,T3,0.619,0.438,0.25,0.409,0.212,-0.197,,,0,4.0,4.0,4.0,5.0,4.0,4.0,3.0,4.0,0.409,0.0,4.0,0.212,5.0,0.0,0.5,4.0
trial_57,claude,C3,T3,0.591,0.312,0.25,0.417,0.23,-0.187,,,0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,0.417,0.0,4.0,0.23,5.0,0.0,0.3307,4.0
trial_58,claude,C3,T3,0.15,0.312,0.25,0.4,0.192,-0.208,,,0,4.0,5.0,4.0,5.0,4.0,4.0,4.0,4.0,0.4,0.0,4.0,0.192,5.0,0.0,0.433,4.0
trial_59,claude,C3,T3,0.15,0.312,0.25,0.373,0.175,-0.198,,,0,4.0,5.0,4.0,5.0,4.0,4.0,4.0,4.0,0.373,0.0,4.0,0.175,5.0,0.0,0.433,4.0
trial_60,claude,C0,T4,0.15,0.25,0.1,0.479,0.365,-0.114,,,0,4.0,5.0,1.0,1.0,4.0,4.0,5.0,5.0,0.479,0.0,4.0,0.365,1.0,0.0,1.5762,4.0
trial_61,claude,C0,T4,0.15,0.188,0.25,0.517,0.375,-0.142,,,0,3.0,4.0,1.0,2.0,4.0,4.0,5.0,4.0,0.517,0.0,3.0,0.375,2.0,0.0,1.2183,4.0
trial_62,claude,C0,T4,0.15,0.062,0.25,0.465,0.172,-0.293,,,0,4.0,5.0,1.0,4.0,4.0,5.0,5.0,4.0,0.465,0.0,4.0,0.172,4.0,0.0,1.2247,4.0
trial_63,claude,C0,T4,0.15,0.375,0.1,0.54,0.349,-0.191,,,0,3.0,4.0,1.0,1.0,4.0,5.0,4.0,5.0,0.54,0.0,3.0,0.349,1.0,0.0,1.4948,4.0
trial_64,claude,C0,T4,0.15,0.25,0.25,0.55,0.417,-0.133,,,0,3.0,4.0,1.0,1.0,4.0,4.0,5.0,4.0,0.55,0.0,3.0,0.417,1.0,0.0,1.3919,4.0
trial_65,claude,C1,T4,0.511,0.312,0.15,0.49,0.244,-0.246,,,0,4.0,4.0,1.0,2.0,5.0,5.0,4.0,4.0,0.49,0.0,4.0,0.244,2.0,0.0,1.317,5.0
trial_66,claude,C1,T4,0.1,0.312,0.25,0.568,0.36,-0.208,,,0,2.0,4.0,1.0,2.0,4.0,4.0,4.0,4.0,0.568,0.0,2.0,0.36,2.0,0.0,1.1659,4.0
trial_67,claude,C1,T4,0.55,0.375,0.1,0.49,0.41,-0.08,,,0,4.0,4.0,1.0,1.0,4.0,4.0,4.0,5.0,0.49,0.0,4.0,0.41,1.0,0.0,1.4087,4.0
trial_68,claude,C1,T4,0.555,0.5,0.1,0.517,0.439,-0.078,,,0,4.0,4.0,1.0,1.0,4.0,4.0,3.0,5.0,0.517,0.0,4.0,0.439,1.0,0.0,1.3919,4.0
trial_69,claude,C1,T4,0.1,0.312,0.25,0.514,0.323,-0.191,,,0,3.0,5.0,1.0,2.0,4.0,4.0,4.0,4.0,0.514,0.0,3.0,0.323,2.0,0.0,1.2183,4.0
trial_70,claude,C2,T4,0.1,0.5,0.25,0.581,0.283,-0.298,,,0,2.0,4.0,1.0,3.0,4.0,4.0,2.0,4.0,0.581,0.0,2.0,0.283,3.0,0.0,1.118,4.0
trial_71,claude,C2,T4,0.569,0.188,0.25,0.465,0.193,-0.272,,,0,4.0,4.0,1.0,4.0,4.0,5.0,4.0,4.0,0.465,0.0,4.0,0.193,4.0,0.0,1.0897,4.0
trial_72,claude,C2,T4,0.15,0.312,0.25,0.517,0.267,-0.25,,,0,3.0,4.0,1.0,4.0,4.0,4.0,3.0,4.0,0.517,0.0,3.0,0.267,4.0,0.0,0.9922,4.0
trial_73,claude,C2,T4,0.596,0.188,0.25,0.561,0.273,-0.288,,,0,4.0,4.0,1.0,4.0,4.0,4.0,4.0,4.0,0.561,0.0,4.0,0.273,4.0,0.0,0.9922,4.0
trial_74,claude,C2,T4,0.15,0.188,0.25,0.6,0.217,-0.383,,,0,3.0,4.0,1.0,4.0,4.0,5.0,4.0,4.0,0.6,0.0,3.0,0.217,4.0,0.0,1.111,4.0
trial_75,claude,C3,T4,0.15,0.5,0.25,0.512,0.214,-0.298,,,0,3.0,4.0,2.0,4.0,4.0,4.0,2.0,4.0,0.512,0.0,3.0,0.214,4.0,0.0,0.857,4.0
trial_76,claude,C3,T4,0.15,0.438,0.25,0.583,0.236,-0.347,,,0,3.0,4.0,1.0,4.0,4.0,4.0,2.0,4.0,0.583,0.0,3.0,0.236,4.0,0.0,1.0897,4.0
trial_77,claude,C3,T4,0.15,0.5,0.1,0.55,0.379,-0.171,,,0,3.0,4.0,1.0,3.0,4.0,2.0,2.0,5.0,0.55,0.0,3.0,0.379,3.0,0.0,1.2247,4.0
trial_78,claude,C3,T4,0.15,0.5,0.1,0.555,0.212,-0.343,,,0,3.0,4.0,1.0,3.0,4.0,5.0,2.0,5.0,0.555,0.0,3.0,0.212,3.0,0.0,1.317,4.0
trial_79,claude,C3,T4,0.15,0.438,0.6,0.531,0.15,-0.381,,,0,3.0,4.0,1.0,4.0,5.0,4.0,2.0,1.0,0.531,0.0,3.0,0.15,4.0,0.0,1.4142,5.0
trial_80,claude,C0,T5,0.65,0.312,0.45,0.45,0.46,0.01,,,0,4.0,4.0,1.0,2.0,5.0,1.0,4.0,2.0,0.45,0.0,4.0,0.46,2.0,0.0,1.4524,5.0
trial_81,claude,C0,T5,0.15,0.625,0.55,0.45,0.426,-0.024,,,0,4.0,5.0,1.0,1.0,4.0,2.0,2.0,2.0,0.45,0.0,4.0,0.426,1.0,0.0,1.4087,4.0
trial_82,claude,C0,T5,0.15,0.312,0.25,0.479,0.476,-0.003,,,0,4.0,5.0,1.0,2.0,4.0,1.0,4.0,4.0,0.479,0.0,4.0,0.476,2.0,0.0,1.4524,4.0
trial_83,claude,C0,T5,0.15,0.375,0.4,0.444,0.379,-0.065,,,0,4.0,5.0,2.0,2.0,4.0,2.0,4.0,3.0,0.444,0.0,4.0,0.379,2.0,0.0,1.0897,4.0
trial_84,claude,C0,T5,0.666,0.188,0.25,0.45,0.367,-0.083,,,0,4.0,4.0,1.0,4.0,4.0,2.0,4.0,4.0,0.45,0.0,4.0,0.367,4.0,0.0,1.111,4.0
trial_85,claude,C1,T5,0.15,0.625,0.45,0.525,0.35,-0.175,,,0,4.0,5.0,1.0,1.0,5.0,2.0,2.0,2.0,0.525,0.0,4.0,0.35,1.0,0.0,1.5612,5.0
trial_86,claude,C1,T5,0.15,0.625,0.55,0.45,0.4,-0.05,,,0,4.0,5.0,1.0,1.0,4.0,2.0,2.0,2.0,0.45,0.0,4.0,0.4,1.0,0.0,1.4087,4.0
trial_87,claude,C1,T5,0.5,0.375,0.45,0.475,0.475,0.0,,,0,4.0,4.0,1.0,1.0,2.0,4.0,4.0,4.0,0.475,0.0,4.0,0.475,1.0,0.0,1.3229,2.0
trial_88,claude,C1,T5,0.15,0.625,0.15,0.45,0.35,-0.1,,,0,4.0,5.0,1.0,1.0,5.0,2.0,2.0,4.0,0.45,0.0,4.0,0.35,1.0,0.0,1.5811,5.0
trial_89,claude,C1,T5,0.5,0.625,0.45,0.4,0.4,0.0,,,0,5.0,5.0,1.0,1.0,5.0,1.0,2.0,2.0,0.4,0.0,5.0,0.4,1.0,0.0,1.7854,5.0
trial_90,claude,C2,T5,0.643,0.188,0.55,0.45,0.357,-0.093,,,0,4.0,4.0,1.0,4.0,4.0,2.0,4.0,2.0,0.45,0.0,4.0,0.357,4.0,0.0,1.1659,4.0
trial_91,claude,C2,T5,0.504,0.312,0.25,0.475,0.177,-0.298,,,0,4.0,4.0,1.0,4.0,4.0,5.0,3.0,4.0,0.475,0.0,4.0,0.177,4.0,0.0,1.111,4.0
trial_92,claude,C2,T5,0.15,0.188,0.25,0.483,0.367,-0.116,,,0,4.0,3.0,1.0,4.0,4.0,3.0,4.0,4.0,0.483,0.0,4.0,0.367,4.0,0.0,0.9922,4.0
trial_93,claude,C2,T5,0.555,0.188,0.55,0.45,0.222,-0.228,,,0,4.0,4.0,1.0,4.0,4.0,4.0,4.0,2.0,0.45,0.0,4.0,0.222,4.0,0.0,1.111,4.0
trial_94,claude,C2,T5,0.541,0.312,0.55,0.45,0.317,-0.133,,,0,4.0,4.0,1.0,4.0,4.0,2.0,3.0,2.0,0.45,0.0,4.0,0.317,4.0,0.0,1.118,4.0
trial_95,claude,C3,T5,0.55,0.375,0.25,0.49,0.27,-0.22,,,0,4.0,4.0,1.0,3.0,4.0,4.0,3.0,4.0,0.49,0.0,4.0,0.27,3.0,0.0,0.9922,4.0
trial_96,claude,C3,T5,0.15,0.188,0.25,0.53,0.179,-0.351,,,0,4.0,5.0,1.0,4.0,4.0,4.0,4.0,4.0,0.53,0.0,4.0,0.179,4.0,0.0,1.0897,4.0
trial_97,claude,C3,T5,0.535,0.5,0.1,0.464,0.2,-0.264,,,0,4.0,4.0,1.0,3.0,4.0,5.0,2.0,5.0,0.464,0.0,4.0,0.2,3.0,0.0,1.3229,4.0
